epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0057,0.89718,4.21665,1.14208,0.65156,0.23986,0.23048,0.21303,0.40771,2.25575,0.87172,4.27556e-05,4.27556e-05,4.27556e-05
2,41.2653,0.47414,2.06341,0.92571,0.50637,0.68271,0.60845,0.57968,0.3471,1.04573,0.8326,8.43843e-05,8.43843e-05,8.43843e-05
3,61.8795,0.42302,1.36331,0.89528,0.70598,0.85262,0.83868,0.80474,0.30935,0.75468,0.81723,0.000124297,0.000124297,0.000124297
4,81.8688,0.4109,1.06082,0.88795,0.7027,0.92836,0.85477,0.82375,0.3031,0.64809,0.8056,0.000122278,0.000122278,0.000122278
5,101.578,0.3977,0.94558,0.87666,0.74787,0.94748,0.87373,0.84934,0.27148,0.56588,0.80169,0.000119704,0.000119704,0.000119704
6,121.473,0.36928,0.84368,0.86835,0.75324,0.97308,0.87636,0.85297,0.27068,0.55172,0.80158,0.00011713,0.00011713,0.00011713
7,141.434,0.36176,0.8035,0.86955,0.78597,0.96363,0.8923,0.87175,0.25516,0.51287,0.79778,0.000114556,0.000114556,0.000114556
8,161.888,0.3485,0.7458,0.86471,0.80679,0.95204,0.87363,0.85451,0.2471,0.49082,0.79709,0.000111982,0.000111982,0.000111982
9,181.97,0.35213,0.73286,0.86391,0.77931,0.97515,0.87669,0.85436,0.25863,0.49285,0.79655,0.000109408,0.000109408,0.000109408
10,201.376,0.33859,0.701,0.8589,0.76105,0.98415,0.88556,0.86399,0.25196,0.48925,0.7947,0.000106834,0.000106834,0.000106834
11,219.909,0.32809,0.68154,0.85785,0.7878,0.95776,0.88517,0.86895,0.23908,0.47526,0.79337,0.00010426,0.00010426,0.00010426
12,239.202,0.31851,0.65232,0.84982,0.77426,0.97322,0.87275,0.85495,0.24661,0.47038,0.79289,0.000101686,0.000101686,0.000101686
13,259.413,0.3169,0.63623,0.85096,0.79427,0.97708,0.88113,0.86316,0.23442,0.45706,0.79299,9.9112e-05,9.9112e-05,9.9112e-05
14,279.297,0.30915,0.61511,0.84608,0.7776,0.97836,0.88301,0.86444,0.24259,0.47198,0.79401,9.6538e-05,9.6538e-05,9.6538e-05
15,298.91,0.3037,0.61051,0.84701,0.77788,0.97988,0.8826,0.86734,0.23204,0.46012,0.78968,9.3964e-05,9.3964e-05,9.3964e-05
16,318.74,0.31006,0.60856,0.84844,0.77726,0.98498,0.88569,0.86863,0.23706,0.46093,0.79073,9.139e-05,9.139e-05,9.139e-05
