epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.979,0.93107,3.0736,1.13328,0.51786,0.64181,0.54452,0.47687,0.57554,1.73814,0.91107,0.0671126,0.000332196,0.000332196
2,205.668,0.81868,1.73259,1.07936,0.59493,0.70423,0.6798,0.63394,0.386,1.22861,0.84529,0.034112,0.000664879,0.000664879
3,304.886,0.7793,1.45012,1.05764,0.64819,0.76808,0.76015,0.67199,0.55807,1.18258,0.92317,0.00110873,0.000994964,0.000994964
4,403.094,0.74301,1.27083,1.03623,0.74946,0.86283,0.85308,0.76266,0.47917,0.78683,0.87662,0.000991232,0.000991232,0.000991232
5,501.561,0.72494,1.17703,1.02726,0.71644,0.90499,0.85884,0.78787,0.41954,0.76499,0.84196,0.000984449,0.000984449,0.000984449
6,606.316,0.69663,1.10473,1.0169,0.73092,0.93061,0.86968,0.77874,0.47752,0.69619,0.85888,0.000975773,0.000975773,0.000975773
7,703.831,0.68798,1.04965,1.00866,0.67272,0.9345,0.85976,0.81738,0.33171,0.71453,0.81383,0.000965239,0.000965239,0.000965239
8,794.787,0.66785,0.97453,0.99388,0.76622,0.92905,0.88591,0.82109,0.39758,0.80535,0.82939,0.000952889,0.000952889,0.000952889
9,882.962,0.64813,0.95446,0.98903,0.7242,0.97389,0.87708,0.79854,0.43902,0.61555,0.84672,0.000938772,0.000938772,0.000938772
10,969.786,0.64521,0.94374,0.99301,0.77952,0.96496,0.8799,0.7799,0.5226,0.59444,0.86424,0.000922942,0.000922942,0.000922942
11,1055.88,0.62985,0.90068,0.98491,0.764,0.96138,0.8739,0.80817,0.40649,0.65366,0.82614,0.000905463,0.000905463,0.000905463
12,1142.67,0.62287,0.89715,0.98162,0.78252,0.95873,0.87852,0.82828,0.35251,0.58501,0.81532,0.000886404,0.000886404,0.000886404
13,1229.45,0.60862,0.85746,0.96919,0.77053,0.97759,0.88329,0.83981,0.34162,0.54749,0.81189,0.000865839,0.000865839,0.000865839
14,1316.2,0.60449,0.8464,0.97322,0.76917,0.98783,0.87881,0.84251,0.296,0.52986,0.79605,0.000843851,0.000843851,0.000843851
15,1403.16,0.595,0.82791,0.96739,0.76595,0.98266,0.87235,0.83424,0.31715,0.52944,0.80221,0.000820525,0.000820525,0.000820525
16,1493.44,0.58653,0.81436,0.96438,0.78207,0.98161,0.89858,0.84551,0.35424,0.51217,0.80826,0.000795954,0.000795954,0.000795954
17,1584.3,0.58714,0.80235,0.96651,0.77299,0.98823,0.87824,0.84596,0.30023,0.50866,0.80084,0.000770234,0.000770234,0.000770234
18,1677.05,0.58656,0.78133,0.96579,0.78312,0.97518,0.87578,0.83314,0.33348,0.52364,0.80695,0.000743468,0.000743468,0.000743468
19,1768.81,0.56735,0.76817,0.95979,0.77028,0.97578,0.88201,0.83801,0.334,0.52902,0.80045,0.000715761,0.000715761,0.000715761
20,1860,0.57387,0.7682,0.95982,0.78889,0.97289,0.89392,0.8432,0.35002,0.52898,0.80372,0.000687222,0.000687222,0.000687222
21,1949.07,0.5636,0.75398,0.94898,0.78767,0.97227,0.88841,0.85264,0.29739,0.47989,0.79192,0.000657963,0.000657963,0.000657963
22,2039.64,0.55305,0.73364,0.95611,0.77894,0.98406,0.88646,0.85705,0.28555,0.48279,0.79089,0.000628101,0.000628101,0.000628101
23,2128.61,0.54433,0.72826,0.94662,0.77562,0.9842,0.88137,0.84972,0.29677,0.49081,0.79283,0.000597754,0.000597754,0.000597754
24,2220.46,0.54274,0.70959,0.94587,0.78689,0.98846,0.87938,0.8446,0.30874,0.46593,0.79398,0.00056704,0.00056704,0.00056704
25,2313.64,0.53475,0.71076,0.94618,0.79195,0.98638,0.88436,0.85954,0.2853,0.46407,0.78911,0.000536081,0.000536081,0.000536081
26,2402.69,0.52536,0.69751,0.94075,0.79337,0.98223,0.87942,0.85406,0.29005,0.45756,0.78817,0.000505,0.000505,0.000505
27,2488.04,0.52485,0.6915,0.93925,0.79032,0.96691,0.88622,0.86105,0.2794,0.45905,0.78655,0.000473919,0.000473919,0.000473919
28,2572.78,0.51913,0.68647,0.93737,0.79319,0.98286,0.89123,0.86963,0.2639,0.45406,0.78434,0.00044296,0.00044296,0.00044296
29,2656.57,0.51015,0.66773,0.92917,0.79907,0.97529,0.8842,0.86095,0.2726,0.46239,0.78451,0.000412246,0.000412246,0.000412246
30,2740.46,0.50924,0.66979,0.93964,0.79753,0.99083,0.88526,0.86049,0.28312,0.44553,0.7845,0.000381899,0.000381899,0.000381899
31,2824.96,0.49998,0.65694,0.93459,0.80077,0.98168,0.87576,0.85188,0.28285,0.4453,0.78747,0.000352037,0.000352037,0.000352037
32,2912.1,0.49258,0.63886,0.9284,0.79786,0.98471,0.88675,0.86814,0.24848,0.43382,0.77705,0.000322778,0.000322778,0.000322778
33,3000.28,0.48601,0.63676,0.92474,0.80253,0.98155,0.88255,0.86832,0.23689,0.43267,0.77598,0.000294239,0.000294239,0.000294239
34,3089.31,0.48768,0.6305,0.92782,0.79836,0.98348,0.88588,0.86654,0.27113,0.42891,0.78086,0.000266532,0.000266532,0.000266532
35,3176.58,0.48304,0.62373,0.92249,0.79438,0.98101,0.88455,0.86888,0.23751,0.43295,0.77525,0.000239766,0.000239766,0.000239766
36,3266.08,0.47374,0.62086,0.91854,0.80088,0.97905,0.88025,0.86766,0.23634,0.43244,0.77485,0.000214046,0.000214046,0.000214046
37,3349.49,0.47398,0.61635,0.91827,0.79402,0.98517,0.87075,0.85845,0.24208,0.43079,0.77482,0.000189475,0.000189475,0.000189475
38,3439.44,0.46758,0.61187,0.91725,0.78854,0.98115,0.88153,0.86981,0.24298,0.4367,0.77494,0.000166149,0.000166149,0.000166149
39,3530.12,0.45754,0.60757,0.91367,0.79993,0.98749,0.8845,0.87263,0.23937,0.42513,0.77415,0.000144161,0.000144161,0.000144161
