epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7741,0.75439,3.62684,1.006,0.04117,0.57915,0.12249,0.11001,0.52974,3.27794,0.85213,0.06744,0.000328889,0.000328889
2,55.9342,0.66029,2.40925,0.97997,0.46267,0.49373,0.35269,0.32256,0.45077,2.07462,0.85877,0.0344394,0.000661575,0.000661575
3,81.9409,0.61854,1.79852,0.96118,0.52339,0.65548,0.54522,0.49968,0.43774,1.43112,0.8689,0.00143611,0.00099167,0.00099167
4,107.188,0.60739,1.56287,0.9628,0.47659,0.63237,0.53565,0.46683,0.57898,1.49802,0.92696,0.000991232,0.000991232,0.000991232
5,132.723,0.58145,1.43104,0.95236,0.6384,0.73703,0.74983,0.70156,0.37978,1.02984,0.83876,0.000984449,0.000984449,0.000984449
6,158.278,0.56492,1.29879,0.94265,0.6407,0.7583,0.7537,0.69913,0.39193,1.00231,0.84506,0.000975773,0.000975773,0.000975773
7,183.928,0.55794,1.19356,0.92777,0.6708,0.81299,0.78359,0.70538,0.49579,0.93629,0.87324,0.000965239,0.000965239,0.000965239
8,210.233,0.53969,1.13344,0.92817,0.60647,0.84424,0.76647,0.70919,0.38714,0.913,0.8371,0.000952889,0.000952889,0.000952889
9,235.759,0.55231,1.0951,0.92555,0.6718,0.87168,0.80155,0.73325,0.46793,0.81523,0.86737,0.000938772,0.000938772,0.000938772
10,260.357,0.53605,1.04829,0.92365,0.75413,0.85416,0.84661,0.80053,0.34527,0.81184,0.8335,0.000922942,0.000922942,0.000922942
11,285.294,0.52227,1.01183,0.91385,0.69714,0.89611,0.82475,0.77192,0.38205,0.73992,0.83642,0.000905463,0.000905463,0.000905463
12,310.222,0.52219,1.00414,0.92037,0.66644,0.89099,0.84856,0.7869,0.41212,0.78749,0.8375,0.000886404,0.000886404,0.000886404
13,335.093,0.50378,0.96999,0.91162,0.69414,0.90991,0.87617,0.78098,0.50214,0.75354,0.87179,0.000865839,0.000865839,0.000865839
14,361.306,0.50392,0.95842,0.90484,0.71198,0.91758,0.85887,0.81629,0.33601,0.66954,0.81631,0.000843851,0.000843851,0.000843851
15,386.799,0.49804,0.91164,0.90708,0.73309,0.93018,0.86012,0.82339,0.30464,0.69844,0.80639,0.000820525,0.000820525,0.000820525
16,412.055,0.51682,0.91455,0.91679,0.7232,0.93942,0.86478,0.79492,0.43578,0.67181,0.84746,0.000795954,0.000795954,0.000795954
17,437.499,0.49809,0.87849,0.9051,0.72437,0.96786,0.86744,0.83472,0.30356,0.62719,0.80493,0.000770234,0.000770234,0.000770234
18,464.305,0.48993,0.85288,0.90321,0.74883,0.97718,0.86384,0.81014,0.38403,0.61564,0.83231,0.000743468,0.000743468,0.000743468
19,489.636,0.49041,0.85166,0.89927,0.73114,0.96707,0.88605,0.84334,0.33988,0.62455,0.81257,0.000715761,0.000715761,0.000715761
20,514.713,0.48488,0.83977,0.89999,0.73357,0.96107,0.88274,0.81964,0.39002,0.59677,0.83128,0.000687222,0.000687222,0.000687222
21,539.948,0.46999,0.79701,0.89428,0.74988,0.97248,0.86955,0.83215,0.31461,0.60003,0.80875,0.000657963,0.000657963,0.000657963
22,564.892,0.47474,0.80234,0.89728,0.74453,0.97353,0.8756,0.83991,0.29913,0.59289,0.80171,0.000628101,0.000628101,0.000628101
23,589.642,0.46217,0.78698,0.89656,0.76067,0.97861,0.8669,0.80119,0.40686,0.59003,0.83553,0.000597754,0.000597754,0.000597754
24,615.456,0.45067,0.7713,0.88599,0.74179,0.98902,0.88033,0.83568,0.33212,0.55744,0.80706,0.00056704,0.00056704,0.00056704
25,640.572,0.4475,0.76436,0.8867,0.75251,0.97372,0.8826,0.83566,0.34907,0.5487,0.8132,0.000536081,0.000536081,0.000536081
26,666.36,0.44405,0.76483,0.88593,0.77691,0.95729,0.87866,0.84083,0.31533,0.57082,0.80214,0.000505,0.000505,0.000505
27,690.77,0.42765,0.71681,0.87904,0.7651,0.98723,0.86972,0.83198,0.32347,0.5452,0.80724,0.000473919,0.000473919,0.000473919
28,715.483,0.4328,0.71885,0.88188,0.77197,0.98854,0.87156,0.85164,0.27319,0.52234,0.79451,0.00044296,0.00044296,0.00044296
29,740.077,0.43254,0.71594,0.8869,0.78429,0.95977,0.87633,0.84583,0.28554,0.52168,0.79917,0.000412246,0.000412246,0.000412246
30,766.211,0.41958,0.69929,0.87589,0.77386,0.98579,0.87552,0.84892,0.28465,0.51031,0.799,0.000381899,0.000381899,0.000381899
31,791.99,0.42139,0.69847,0.87896,0.75929,0.9811,0.87842,0.8539,0.26901,0.50851,0.79204,0.000352037,0.000352037,0.000352037
32,817.497,0.42062,0.68398,0.88076,0.7836,0.97432,0.88664,0.8561,0.27746,0.5035,0.79286,0.000322778,0.000322778,0.000322778
33,843.223,0.4106,0.67467,0.87533,0.77713,0.98091,0.86759,0.83965,0.27535,0.50873,0.79322,0.000294239,0.000294239,0.000294239
34,867.704,0.39813,0.65732,0.87197,0.77119,0.98756,0.87317,0.83846,0.29837,0.51055,0.79582,0.000266532,0.000266532,0.000266532
35,893.577,0.39768,0.65477,0.86846,0.78808,0.98981,0.87379,0.85012,0.26596,0.49212,0.78962,0.000239766,0.000239766,0.000239766
36,919.368,0.39914,0.65894,0.87213,0.76599,0.99425,0.87319,0.85346,0.25223,0.49332,0.78642,0.000214046,0.000214046,0.000214046
37,944.336,0.39275,0.6461,0.87111,0.77618,0.992,0.88103,0.86434,0.23503,0.4818,0.78183,0.000189475,0.000189475,0.000189475
38,969.538,0.39709,0.6522,0.87301,0.79566,0.98078,0.88718,0.86174,0.27036,0.48909,0.78813,0.000166149,0.000166149,0.000166149
39,994.787,0.38123,0.63144,0.86624,0.78001,0.99138,0.87674,0.85747,0.25736,0.48047,0.78586,0.000144161,0.000144161,0.000144161
40,1019.59,0.38228,0.63628,0.86786,0.79207,0.99541,0.88437,0.86619,0.24497,0.47264,0.7837,0.000123596,0.000123596,0.000123596
41,1041.56,0.28407,0.53237,0.82685,0.7832,0.99186,0.88251,0.86569,0.23473,0.47076,0.78044,0.000104537,0.000104537,0.000104537
42,1063.99,0.27916,0.51675,0.8317,0.79731,0.9833,0.87871,0.86026,0.24367,0.47286,0.78095,8.70577e-05,8.70577e-05,8.70577e-05
43,1085.81,0.26967,0.50281,0.82357,0.78788,0.9867,0.87559,0.85946,0.24264,0.46469,0.78249,7.12282e-05,7.12282e-05,7.12282e-05
44,1107.63,0.27035,0.49991,0.82975,0.79263,0.99276,0.88088,0.86802,0.2224,0.46135,0.77761,5.71106e-05,5.71106e-05,5.71106e-05
45,1130.32,0.26597,0.49438,0.82744,0.80086,0.98558,0.88218,0.86956,0.22882,0.45692,0.77863,4.47606e-05,4.47606e-05,4.47606e-05
46,1151.75,0.26803,0.49455,0.82681,0.79626,0.9904,0.87836,0.86681,0.22845,0.45492,0.77899,3.4227e-05,3.4227e-05,3.4227e-05
47,1173.76,0.26982,0.48996,0.82739,0.80189,0.98817,0.87686,0.86428,0.22612,0.451,0.77783,2.55513e-05,2.55513e-05,2.55513e-05
48,1194.98,0.25968,0.48653,0.82839,0.79625,0.99544,0.87769,0.8652,0.22887,0.45546,0.77825,1.87678e-05,1.87678e-05,1.87678e-05
49,1217.08,0.26109,0.48716,0.8263,0.79402,0.98894,0.88054,0.86743,0.22869,0.45505,0.77852,1.39032e-05,1.39032e-05,1.39032e-05
50,1238.62,0.25817,0.48311,0.82428,0.79964,0.98782,0.87681,0.86526,0.22749,0.45273,0.77809,1.09768e-05,1.09768e-05,1.09768e-05
