YOLO_class,Category_ID,Pill_Name,Count
0,1899,보령부스파정 5mg,151
1,16550,동아가바펜틴정 800mg,117
2,31704,낙소졸정 500/20mg,29
3,33008,신바로정,29
4,16547,가바토파정 100mg,119
5,18109,란스톤엘에프디티정 30mg,21
6,21025,펠루비정(펠루비프로펜),29
7,27925,울트라셋이알서방정,31
8,29344,비모보정 500/20mg,32
9,29450,레일라정,25
10,19606,스토가정 10mg,28
11,21770,라비에트정 20mg,19
12,24849,놀텍정 10mg,22
13,33207,에스원엠프정 20mg,26
14,44198,케이캡정 50mg,22
15,2482,뮤테란캡슐 100mg,132
16,3742,알드린정,44
17,4377,타이레놀정500mg,27
18,6191,삐콤씨에프정 618.6mg/병,29
19,12777,다보타민큐정 10mg/병,23
20,19551,트루비타정 60mg/병,32
21,22626,메가파워정 90mg/병,27
22,23222,비타비백정 100mg/병,30
23,5885,타이레놀이알서방정(아세트아미노펜)(수출용),28
24,12080,리렉스펜정 300mg/PTP,23
25,13394,써스펜8시간이알서방정 650mg,26
26,22361,맥시부펜이알정 300mg,28
27,5093,삼남건조수산화알루미늄겔정,40
28,25437,큐시드정 31.5mg/PTP,46
29,3350,일양하이트린정 2mg,198
30,3831,뉴로메드정(옥시라세탐),23
31,16231,리피토정 20mg,84
32,16261,크레스토정 20mg,82
33,16687,오마코연질캡슐(오메가-3-산에틸에스테르90),15
34,20237,플라빅스정 75mg,75
35,21324,아토르바정 10mg,19
36,22073,리피로우정 20mg,23
37,29666,리바로정 4mg,91
38,35205,아토젯정 10/40mg,91
39,36636,로수젯정10/5밀리그램,85
40,38161,로수바미브정 10/20mg,25
41,13899,에빅사정(메만틴염산염)(비매품),18
42,18146,리리카캡슐 150mg,20
43,18356,종근당글리아티린연질캡슐(콜린알포세레이트) ,17
44,19231,콜리네이트연질캡슐 400mg,22
45,20013,마도파정,21
46,31862,아질렉트정(라사길린메실산염),20
47,32309,글리아타민연질캡슐,14
48,33879,글리틴정(콜린알포세레이트),17
49,41767,카발린캡슐 25mg,19
50,3482,기넥신에프정(은행엽엑스)(수출용),400
51,19860,노바스크정 5mg,47
52,22346,자누비아정 50mg,65
53,28762,트라젠타정(리나글립틴),60
54,30307,트라젠타듀오정 2.5/850mg,68
55,31884,자누메트엑스알서방정 100/1000mg,71
56,34596,제미메트서방정 50/1000mg,69
57,20876,엑스포지정 5/160mg,64
58,25366,자누메트정 50/850mg,72
59,25468,아모잘탄정 5/100mg,61
60,27652,세비카정 10/40mg,57
61,27732,트윈스타정 40/5mg,78
62,27776,카나브정 60mg,68
63,3543,무코스타정(레바미피드)(비매품),82
64,4542,에어탈정(아세클로페낙),23
65,10220,쎄로켈정 100mg,31
66,12246,아빌리파이정 10mg,13
67,12419,자이프렉사정 2.5mg,9
68,23202,쿠에타핀정 25mg,6
69,27992,졸로푸트정 100mg,9
70,29870,렉사프로정 15mg,6
71,33877,브린텔릭스정 20mg,4
72,6562,조인스정 200mg,27
