annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,27925,594,675,266,484,0.845468
2,1,1899,158,248,204,130,0.831287
3,1,24849,170,738,185,298,0.822009
4,1,16550,556,66,403,411,0.813429
5,10,16547,101,806,243,241,0.853712
6,10,21770,641,287,192,184,0.846872
7,10,1899,641,842,192,192,0.822459
8,10,29450,104,232,409,227,0.740995
9,100,16547,585,130,236,228,0.849988
10,100,1899,134,243,192,163,0.841152
11,100,18109,43,745,311,303,0.72531
12,100,33008,518,787,382,218,0.657817
13,1003,27732,123,767,318,280,0.869048
14,1003,34596,38,155,447,424,0.851762
15,1003,16231,647,182,195,184,0.81146
16,1003,3482,606,790,277,213,0.788758
17,1004,27732,564,258,305,271,0.861644
18,1004,34596,509,655,460,449,0.843821
19,1004,16231,141,891,199,197,0.786894
20,1004,3482,123,304,273,205,0.776508
21,1005,27732,87,724,323,287,0.864711
22,1005,34596,23,120,442,431,0.853901
23,1005,16231,619,176,189,186,0.793958
24,1005,3482,579,758,276,214,0.786443
25,1005,18356,940,974,36,305,0.00408626
26,1006,25366,41,171,447,435,0.880066
27,1006,25468,47,855,382,227,0.806864
28,1006,3482,602,842,280,192,0.799333
29,1006,20237,617,194,228,221,0.752574
30,1007,25366,28,149,438,428,0.890653
31,1007,3482,575,808,280,195,0.798118
32,1007,25468,11,812,384,227,0.79716
33,1007,20237,589,189,223,218,0.748852
34,1009,25468,11,812,384,226,0.799808
35,1009,3482,575,808,281,196,0.798377
36,1009,22346,78,196,202,199,0.790771
37,1009,16261,545,184,241,233,0.776632
38,1010,3482,603,842,279,192,0.805165
39,1010,25468,47,855,382,227,0.80235
40,1010,22346,94,204,207,202,0.791493
41,1010,16261,573,194,247,234,0.772526
42,1010,3350,604,547,87,81,0.0228496
43,1012,16547,610,155,234,229,0.891303
44,1012,24849,137,699,189,302,0.844783
45,1012,27925,567,628,266,493,0.844567
46,1012,1899,140,238,201,133,0.817564
47,1013,27925,144,141,264,460,0.85367
48,1013,16547,103,865,244,242,0.841567
49,1013,1899,630,889,213,139,0.806887
50,1013,24849,636,270,184,284,0.782663
51,1014,16547,640,163,240,227,0.935115
52,1014,27925,594,675,265,484,0.849458
53,1014,1899,158,248,204,131,0.833083
54,1014,24849,170,738,185,298,0.819632
55,1015,35205,659,173,226,409,0.899224
56,1015,30307,63,115,407,420,0.817515
57,1015,3482,652,747,211,275,0.813117
58,1015,20876,117,766,330,232,0.787524
59,1015,27732,53,51,339,273,0.0145493
60,1016,35205,97,670,239,417,0.898606
61,1016,30307,533,717,417,425,0.828996
62,1016,3482,139,290,216,262,0.806659
63,1016,20876,543,290,333,242,0.768001
64,1016,18356,898,251,78,297,0.00156199
65,1016,27732,540,666,233,234,0.00138271
66,1018,27732,560,255,305,267,0.863628
67,1018,3482,123,305,273,204,0.778048
68,1018,29666,87,860,232,231,0.657106
69,1018,30307,435,736,481,319,0.62976
70,1019,27732,129,772,316,281,0.871309
71,1019,3482,606,790,277,212,0.811755
72,1019,29666,667,179,229,218,0.695103
73,1019,30307,92,205,469,309,0.368595
74,1019,27732,91,172,283,205,0.00110828
75,102,16547,613,133,241,232,0.932335
76,102,1899,151,253,197,164,0.845098
77,102,18109,77,787,309,299,0.755671
78,102,33008,547,833,376,206,0.632616
79,1020,27732,94,731,319,285,0.869865
80,1020,3482,579,758,276,213,0.783837
81,1020,29666,637,175,224,219,0.709765
82,1020,30307,74,184,459,305,0.331569
83,1020,29450,72,185,460,305,0.0728173
84,1020,18356,939,998,37,282,0.00203498
85,1020,27732,71,147,288,215,0.00182345
86,1022,33207,581,808,216,208,0.872047
87,1022,16550,621,20,289,475,0.830409
88,1022,1899,147,237,183,187,0.791734
89,1022,29450,36,796,424,235,0.711885
90,1023,33207,610,842,213,202,0.86719
91,1023,1899,167,245,186,187,0.821029
92,1023,16550,650,27,296,486,0.806538
93,1023,29450,72,841,419,223,0.71778
94,1025,28762,644,860,225,216,0.843037
95,1025,3482,141,289,216,261,0.803624
96,1025,16261,109,835,252,246,0.795036
97,1025,20876,543,290,331,240,0.759067
98,1025,18356,907,241,69,310,0.00265759
99,1026,28762,135,202,213,207,0.846763
100,1026,3482,650,749,212,274,0.803373
101,1026,20876,118,769,330,231,0.784499
102,1026,16261,628,191,246,234,0.77581
103,1027,3350,353,882,193,194,0.842664
104,1027,13899,189,283,201,238,0.702173
105,1027,16231,599,258,189,192,0.379156
106,1027,22073,599,259,189,190,0.0157177
107,1027,20237,351,881,194,196,0.00337734
108,1028,3350,389,155,190,192,0.803941
109,1028,13899,555,710,206,247,0.744936
110,1028,16231,134,778,194,193,0.744561
111,1028,16687,665,1088,311,192,0.00226465
112,1028,20237,389,155,190,190,0.00203382
113,1029,3350,433,213,189,187,0.826012
114,1029,13899,593,797,203,246,0.728581
115,1029,16231,178,866,190,195,0.632189
116,1029,18146,790,0,186,89,0.00301107
117,1029,20237,433,212,189,188,0.00225519
118,1030,27732,87,724,323,287,0.864992
119,1030,34596,45,141,448,420,0.850933
120,1030,35205,568,115,256,385,0.845953
121,1030,3482,579,758,276,213,0.785749
122,1030,18356,941,997,35,283,0.00178167
123,1034,28762,650,881,224,217,0.853924
124,1034,36636,95,905,275,170,0.800026
125,1034,3482,150,216,249,226,0.775409
126,1034,19860,638,277,222,172,0.631913
127,1034,20237,87,28,284,266,0.00115038
128,1039,28762,127,211,213,207,0.835568
129,1039,25468,47,856,381,227,0.806225
130,1039,3482,603,842,279,191,0.803358
131,1039,16261,573,193,247,234,0.772489
132,104,3350,323,202,186,191,0.840896
133,104,18356,104,608,254,374,0.772962
134,104,21324,615,760,176,232,0.736392
135,104,18356,0,591,170,362,0.0124026
136,104,3831,0,1221,224,59,0.0113593
137,104,20237,323,202,186,189,0.00667526
138,104,18356,0,747,142,335,0.00428269
139,104,3831,755,0,221,123,0.00381761
140,104,1899,615,759,177,234,0.00164661
141,104,16231,615,761,176,232,0.00153381
142,104,18356,0,469,150,336,0.00123937
143,1041,28762,653,850,223,217,0.848601
144,1041,3482,125,268,270,193,0.81312
145,1041,25468,571,226,374,228,0.80026
146,1041,16261,167,833,250,246,0.779302
147,1043,3350,312,168,186,190,0.814446
148,1043,18356,49,625,271,357,0.762685
149,1043,35205,512,604,247,418,0.685658
150,1043,3831,0,1219,241,61,0.0139578
151,1043,20237,312,168,185,189,0.00916974
152,1043,3831,749,0,227,121,0.00700016
153,1043,41767,0,1215,248,65,0.00647731
154,1043,18356,0,553,132,283,0.00611814
155,1043,31884,703,1160,273,120,0.00453666
156,1043,18356,0,648,78,171,0.00431651
157,1043,18356,0,698,49,179,0.0036421
158,1043,18356,0,790,81,186,0.00298268
159,1043,22073,863,1143,113,137,0.00256353
160,1043,3831,765,1144,211,136,0.0024223
161,1043,22361,824,1144,152,136,0.00191882
162,1043,18356,0,766,130,347,0.00185431
163,1043,18356,0,570,81,178,0.00104297
164,1044,3350,354,227,186,184,0.809106
165,1044,18356,91,719,271,358,0.785852
166,1044,35205,551,701,242,412,0.610804
167,1044,18356,0,642,159,285,0.0139448
168,1044,20237,354,226,185,185,0.00983336
169,1044,18356,0,751,137,351,0.00527064
170,1044,31862,0,1227,52,53,0.00301254
171,1044,18356,0,855,87,177,0.00250939
172,1044,16231,0,1217,55,63,0.00170832
173,1045,28762,133,210,210,205,0.860559
174,1045,3482,625,717,210,276,0.806345
175,1045,20876,41,754,329,255,0.791617
176,1045,29666,593,175,222,220,0.713814
177,1046,28762,151,219,215,207,0.826145
178,1046,3482,650,749,213,273,0.803766
179,1046,20876,74,798,328,248,0.79722
180,1046,29666,621,181,227,218,0.646403
181,1047,28762,628,842,222,216,0.830796
182,1047,3482,141,288,216,260,0.799573
183,1047,20876,589,256,328,248,0.788187
184,1047,29666,133,860,233,230,0.676562
185,1050,22626,85,174,349,472,0.821785
186,1050,2482,643,76,208,495,0.795885
187,1050,5093,135,846,280,280,0.691079
188,1050,22361,606,779,258,412,0.684467
189,1050,12080,193,838,221,293,0.00137105
190,1050,12080,607,776,253,416,0.00103531
191,1051,4377,135,107,218,441,0.889124
192,1051,23222,482,657,390,474,0.76434
193,1051,2482,87,676,231,489,0.758554
194,1051,5093,549,189,274,273,0.710393
195,1051,31862,951,1,25,147,0.00924757
196,1051,38161,475,655,390,481,0.0090011
197,1051,3831,715,1161,261,119,0.00870272
198,1051,22361,952,1,24,139,0.00667575
199,1051,12080,567,45,279,433,0.00449295
200,1051,16687,0,1215,276,65,0.00358847
201,1051,12080,913,0,63,108,0.00271979
202,1053,23222,76,75,380,472,0.822329
203,1053,2482,613,46,225,489,0.809624
204,1053,4377,586,694,224,466,0.731531
205,1053,5093,103,798,279,279,0.707304
206,1055,31884,59,27,422,492,0.872226
207,1055,27732,81,729,330,276,0.851128
208,1055,3482,570,765,279,209,0.78587
209,1055,29666,645,185,224,216,0.69105
210,1056,27732,117,773,324,273,0.897538
211,1056,31884,72,49,436,496,0.872412
212,1056,3482,598,799,279,208,0.793642
213,1056,29666,675,188,229,217,0.678809
214,1057,12777,75,76,340,502,0.799367
215,1057,25437,109,827,257,259,0.797535
216,1057,4377,638,706,225,458,0.790199
217,1057,2482,611,65,245,477,0.789884
218,1058,4377,650,705,225,478,0.822668
219,1058,2482,596,99,256,463,0.800631
220,1058,25437,111,837,262,274,0.794495
221,1058,12777,79,103,339,508,0.785025
222,1060,22626,524,642,364,477,0.808586
223,1060,25437,554,203,250,256,0.793189
224,1060,2482,110,678,221,497,0.770647
225,1060,13394,112,49,242,486,0.704987
226,1060,31862,952,1,24,139,0.0187076
227,1060,3831,762,1143,214,137,0.013193
228,1060,12080,842,0,134,123,0.010384
229,1060,22361,952,1,24,128,0.0101202
230,1060,22073,795,0,177,43,0.00619109
231,1060,12080,787,0,189,61,0.00234565
232,1060,5093,791,0,185,147,0.00208212
233,1060,16231,798,0,124,42,0.00195763
234,1064,34596,58,125,455,425,0.862659
235,1064,25468,47,855,382,227,0.805049
236,1064,3482,603,842,279,191,0.802461
237,1064,20237,616,194,228,220,0.754368
238,1065,34596,483,680,468,445,0.849929
239,1065,3482,125,268,272,193,0.816044
240,1065,25468,571,226,375,229,0.796353
241,1065,20237,139,848,233,231,0.740156
242,1067,31884,554,668,406,537,0.850179
243,1067,16261,118,841,252,250,0.822449
244,1067,3482,130,286,282,178,0.811486
245,1067,27652,670,253,223,202,0.766582
246,1069,16547,642,164,240,229,0.919771
247,1069,21770,116,201,193,190,0.904003
248,1069,1899,623,888,209,145,0.820219
249,1069,21025,138,866,181,180,0.767097
250,1070,16547,99,863,245,242,0.8281
251,1070,21770,685,879,199,197,0.82186
252,1070,1899,174,277,204,145,0.800884
253,1070,21025,672,271,179,175,0.755365
254,1073,36636,636,175,182,245,0.875606
255,1073,3482,534,778,271,227,0.797452
256,1073,22346,115,197,203,199,0.794172
257,1073,27776,143,773,182,207,0.783172
258,1073,18356,949,1026,27,254,0.00215237
259,1075,16550,90,588,346,472,0.820896
260,1075,3543,103,158,203,204,0.712883
261,1075,29870,602,770,208,231,0.669134
262,1075,4542,611,141,204,202,0.56982
263,1075,16231,602,771,209,226,0.0241694
264,1076,3543,669,897,217,217,0.844867
265,1076,16550,533,184,331,449,0.77516
266,1076,29870,168,277,210,215,0.726947
267,1076,4542,132,917,215,214,0.723209
268,1076,16231,168,275,206,218,0.00416969
269,1076,18109,667,897,218,217,0.001347
270,1077,16550,125,641,341,466,0.814647
271,1077,3543,117,164,210,207,0.721443
272,1077,4542,640,140,209,206,0.63948
273,1077,29870,629,806,210,223,0.60331
274,1077,27732,630,804,209,223,0.00362757
275,1079,20876,70,798,328,247,0.812432
276,1079,3482,646,753,214,274,0.810244
277,1079,22346,118,218,209,201,0.784262
278,1079,29666,623,185,228,218,0.635013
279,108,25437,141,840,260,263,0.801028
280,108,2482,598,77,250,482,0.777583
281,108,22361,583,744,262,411,0.698025
282,108,12777,101,43,298,527,0.378966
283,108,23222,100,42,299,529,0.0013647
284,1080,20876,39,753,328,255,0.815758
285,1080,3482,623,720,210,275,0.805641
286,1080,22346,102,208,203,198,0.796152
287,1080,29666,594,178,223,220,0.691343
288,1081,44198,92,182,256,233,0.971557
289,1081,1899,609,898,209,141,0.812644
290,1081,16550,476,195,470,336,0.791834
291,1081,21025,125,865,180,179,0.723538
292,1085,25366,30,125,448,418,0.881066
293,1085,3482,626,715,209,276,0.803299
294,1085,16231,626,219,190,186,0.801099
295,1085,20876,86,723,333,246,0.773838
296,1087,16550,86,587,296,491,0.825629
297,1087,3543,133,173,204,204,0.780077
298,1087,31704,567,672,262,458,0.764731
299,1087,10220,620,201,224,219,0.731954
300,1089,16550,579,178,294,466,0.775915
301,1089,31704,148,142,259,427,0.765948
302,1089,3543,634,886,216,216,0.737987
303,1089,10220,106,832,232,229,0.709411
304,109,35205,106,772,309,397,0.891833
305,109,25366,578,714,397,506,0.89121
306,109,3482,150,215,250,227,0.778639
307,109,19860,638,277,221,173,0.632418
308,109,29666,696,838,242,212,0.00100787
309,1092,44198,135,239,243,237,0.956019
310,1092,16547,82,911,246,245,0.817866
311,1092,1899,652,847,213,162,0.808448
312,1092,33008,564,207,325,298,0.643406
313,1093,34596,499,687,461,450,0.828337
314,1093,16261,100,848,251,247,0.802356
315,1093,3482,150,215,250,226,0.778672
316,1093,19860,638,277,222,173,0.628168
317,1093,20237,82,16,284,271,0.00137852
318,1095,34596,45,116,450,428,0.853035
319,1095,3482,600,865,261,234,0.793737
320,1095,16261,636,173,247,237,0.783368
321,1095,19860,127,864,219,173,0.718183
322,1096,27992,546,776,311,245,0.963988
323,1096,6562,162,671,224,367,0.833161
324,1096,16550,475,109,454,332,0.789327
325,1096,3543,92,194,205,204,0.559771
326,1097,27992,574,814,307,236,0.9489
327,1097,6562,195,714,222,361,0.84493
328,1097,16550,503,120,461,336,0.740816
329,1097,3543,108,203,208,205,0.726197
330,1098,6562,579,229,216,341,0.871828
331,1098,3543,678,860,216,216,0.78168
332,1098,16550,14,783,479,355,0.777995
333,1098,27992,126,251,297,237,0.341196
334,1098,16550,126,253,298,233,0.333634
335,1098,27732,126,253,298,234,0.299216
336,110,25366,40,45,389,490,0.893153
337,110,35205,582,94,293,383,0.871547
338,110,3482,599,865,261,234,0.790587
339,110,19860,126,864,220,173,0.718115
340,1100,36636,636,175,182,245,0.874001
341,1100,31884,55,92,417,499,0.859926
342,1100,3482,533,778,272,227,0.799945
343,1100,27776,143,773,182,207,0.789892
344,1101,36636,666,179,186,252,0.879239
345,1101,31884,69,118,432,500,0.861462
346,1101,3482,562,811,269,223,0.784177
347,1101,27776,176,810,178,202,0.78375
348,1105,27732,124,768,317,280,0.863228
349,1105,35205,600,124,260,396,0.862817
350,1105,22346,111,210,209,201,0.81506
351,1105,3482,607,788,277,213,0.786819
352,1109,28762,140,222,215,207,0.850891
353,1109,16261,623,177,242,238,0.791101
354,1109,3482,587,843,287,171,0.780095
355,1109,27652,96,851,223,209,0.752993
356,1111,28762,115,186,211,203,0.843863
357,1111,27652,61,808,226,214,0.77188
358,1111,3482,558,810,289,178,0.760335
359,1111,29666,601,173,222,219,0.681405
360,1111,18356,936,973,40,307,0.00195573
361,1114,35205,100,686,214,420,0.890692
362,1114,30307,556,690,403,433,0.824893
363,1114,3482,130,286,281,178,0.810754
364,1114,27652,670,252,222,203,0.771011
365,1114,27732,561,644,194,233,0.00106222
366,1115,35205,646,141,205,402,0.88867
367,1115,30307,39,117,385,416,0.823441
368,1115,27652,62,808,227,215,0.774762
369,1115,3482,558,810,290,178,0.760317
370,1115,27732,33,66,300,235,0.0163178
371,1115,18356,946,976,30,304,0.00216241
372,1116,35205,675,151,207,411,0.897674
373,1116,30307,54,137,396,422,0.828874
374,1116,3482,586,843,287,170,0.783735
375,1116,27652,96,851,222,209,0.750841
376,1116,27732,43,70,331,276,0.0249347
377,1118,6562,584,234,216,341,0.866535
378,1118,29870,198,237,173,237,0.845017
379,1118,3543,678,858,216,216,0.811208
380,1118,16547,100,880,245,244,0.716158
381,1118,16231,198,237,173,239,0.0183888
382,1119,16547,643,144,240,230,0.905927
383,1119,6562,191,708,221,361,0.858863
384,1119,3543,108,205,208,206,0.792652
385,1119,29870,631,823,175,245,0.357517
386,112,3543,126,234,209,205,0.827828
387,112,16550,153,582,314,479,0.792009
388,112,10220,631,197,225,219,0.774636
389,112,33008,562,806,371,215,0.641082
390,1121,28762,619,858,224,219,0.841528
391,1121,3482,126,267,271,193,0.80858
392,1121,25468,572,184,334,290,0.753058
393,1121,29666,137,869,233,232,0.741544
394,1123,25366,489,664,461,447,0.875072
395,1123,27732,564,259,305,271,0.858744
396,1123,16261,152,801,251,246,0.805891
397,1123,3482,123,304,273,205,0.779519
398,1125,25366,62,153,448,435,0.875216
399,1125,27732,123,767,318,280,0.867841
400,1125,16261,589,224,245,236,0.809012
401,1125,3482,606,790,276,212,0.793315
402,1126,31884,508,729,468,485,0.876448
403,1126,3482,141,288,216,261,0.798707
404,1126,16261,109,834,253,246,0.791339
405,1126,20876,544,290,331,242,0.76953
406,1126,18356,857,240,119,311,0.00199684
407,1129,27732,564,257,306,270,0.875785
408,1129,22346,682,826,214,209,0.806867
409,1129,3482,123,303,271,206,0.778844
410,1129,20237,112,853,233,232,0.751344
411,113,10220,126,843,230,230,0.817145
412,113,3543,658,832,214,215,0.787726
413,113,16550,530,223,304,467,0.767597
414,113,33008,77,266,364,226,0.614026
415,1135,1899,151,253,197,164,0.848412
416,1135,16550,602,52,287,490,0.770818
417,1135,18109,77,787,309,299,0.754156
418,1135,33008,547,833,375,205,0.627059
419,1136,1899,642,852,207,175,0.832937
420,1136,16550,87,699,297,504,0.822628
421,1136,18109,609,216,302,293,0.755092
422,1136,33008,87,252,367,215,0.63324
423,1138,34596,31,80,372,489,0.857339
424,1138,3482,561,809,290,177,0.769777
425,1138,27652,63,809,226,214,0.7656
426,1138,20237,594,170,222,219,0.737863
427,1138,18356,940,975,36,305,0.00602472
428,114,16550,120,534,319,483,0.819517
429,114,3543,109,223,204,203,0.803298
430,114,10220,602,191,222,217,0.780882
431,114,33008,530,760,381,231,0.641916
432,1140,34596,44,109,384,487,0.850279
433,1140,3482,588,843,287,170,0.788903
434,1140,27652,97,853,223,208,0.761595
