annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,27925,597,669,250,488,0.9455
2,1,16550,554,66,403,411,0.9332
3,1,1899,159,248,200,129,0.8093
4,1,24849,170,738,184,294,0.5823
5,10,21770,641,287,191,185,0.9373
6,10,16547,102,804,242,242,0.9373
7,10,1899,639,841,193,190,0.8908
8,10,29450,103,232,406,225,0.7761
9,100,16547,585,129,231,228,0.9636
10,100,1899,140,245,183,158,0.8606
11,100,33008,517,788,380,218,0.8213
12,100,18109,41,744,314,302,0.5136
13,1003,34596,39,154,445,427,0.9209
14,1003,16231,645,183,198,182,0.9035
15,1003,3482,605,789,276,210,0.8711
16,1003,27732,124,770,312,272,0.8333
17,1004,34596,510,658,456,445,0.9567
18,1004,3482,122,305,273,202,0.9366
19,1004,16231,142,889,197,192,0.8976
20,1004,27732,564,259,303,268,0.8314
21,1005,3482,580,755,275,216,0.915
22,1005,16231,619,174,191,188,0.8775
23,1005,27732,88,725,320,284,0.7988
24,1005,34596,21,124,438,430,0.7967
25,1006,25366,42,177,444,425,0.9608
26,1006,20237,617,192,226,220,0.8947
27,1006,25468,45,854,379,220,0.8943
28,1006,3482,604,842,275,192,0.6967
29,1007,25366,28,154,434,427,0.9141
30,1007,20237,590,189,220,214,0.9013
31,1007,3482,578,809,275,195,0.8368
32,1007,25468,11,809,384,224,0.8138
33,1009,22346,78,196,201,196,0.9288
34,1009,3482,578,807,276,199,0.848
35,1009,25468,11,809,385,225,0.8318
36,1009,16261,549,185,237,229,0.812
37,1010,22346,94,205,205,198,0.9238
38,1010,25468,45,855,379,219,0.8882
39,1010,3482,604,845,275,189,0.7521
40,1010,16261,576,190,243,237,0.5358
41,1012,27925,572,625,256,491,0.9366
42,1012,16547,611,157,231,225,0.9279
43,1012,1899,144,240,193,130,0.6958
44,1012,24849,142,702,182,296,0.3318
45,1013,16547,103,864,240,241,0.9738
46,1013,27925,146,140,256,462,0.8861
47,1013,24849,638,271,181,281,0.7102
48,1013,1899,634,891,204,136,0.6839
49,1014,16547,640,162,237,228,0.9702
50,1014,27925,598,670,250,486,0.9353
51,1014,1899,159,249,200,128,0.8607
52,1014,24849,171,739,183,293,0.6809
53,1015,35205,657,172,219,405,0.957
54,1015,30307,66,123,402,406,0.9333
55,1015,3482,649,746,210,270,0.89
56,1015,20876,117,767,331,230,0.8856
57,1016,30307,534,720,406,415,0.9269
58,1016,20876,543,291,330,236,0.888
59,1016,3482,140,293,213,256,0.8571
60,1016,35205,99,672,231,409,0.7649
61,1018,3482,123,304,271,203,0.9208
62,1018,30307,443,741,467,312,0.9097
63,1018,27732,559,252,302,269,0.8312
64,1018,29666,87,860,232,231,0.6729
65,1019,3482,606,789,276,211,0.896
66,1019,29666,667,180,225,217,0.8615
67,1019,30307,87,206,464,309,0.8001
68,1019,27732,130,776,314,278,0.7205
69,102,16547,613,133,240,231,0.9809
70,102,1899,150,254,200,162,0.885
71,102,33008,546,831,376,206,0.6905
72,102,18109,77,789,308,301,0.4569
73,1020,29666,638,176,220,216,0.926
74,1020,3482,580,754,275,216,0.9003
75,1020,30307,73,187,451,300,0.8295
76,1020,27732,94,732,318,279,0.7911
77,1022,33207,582,807,214,210,0.9162
78,1022,16550,623,23,285,473,0.8469
79,1022,29450,32,795,423,234,0.7319
80,1022,1899,149,241,175,181,0.4611
81,1023,33207,610,840,213,206,0.9373
82,1023,16550,652,24,294,487,0.857
83,1023,29450,68,839,416,225,0.7706
84,1023,1899,170,244,183,187,0.6463
85,1025,20876,543,290,330,237,0.8702
86,1025,3482,141,292,213,256,0.8002
87,1025,16261,109,834,249,245,0.7966
88,1025,28762,644,860,219,213,0.7651
89,1026,28762,135,204,213,203,0.9048
90,1026,20876,116,767,331,230,0.8985
91,1026,3482,649,749,209,267,0.8983
92,1026,16261,630,190,242,233,0.5588
93,1027,13899,188,283,198,234,0.9067
94,1027,3350,354,882,188,192,0.8182
95,1027,22073,600,261,186,187,0.2665
96,1028,13899,552,708,208,250,0.9363
97,1028,3350,391,155,183,190,0.9328
98,1028,16231,136,776,189,191,0.499
99,1029,3350,434,215,183,183,0.9657
100,1029,13899,590,795,201,243,0.879
101,1029,16231,174,868,192,188,0.2653
102,1030,35205,572,117,244,382,0.9416
103,1030,3482,580,755,275,216,0.9136
104,1030,34596,45,139,442,426,0.7953
105,1030,27732,89,725,320,282,0.7882
106,1034,3482,151,216,247,224,0.8067
107,1034,28762,649,881,225,217,0.7957
108,1034,36636,92,907,276,164,0.7472
109,1034,19860,640,274,221,176,0.6184
110,1039,25468,45,854,381,221,0.9149
111,1039,28762,127,212,212,204,0.8985
112,1039,3482,603,844,276,189,0.713
113,1039,16261,575,191,242,234,0.6448
114,104,3350,323,203,184,188,0.971
115,104,21324,615,757,176,235,0.9239
116,104,18356,107,608,249,372,0.7508
117,1041,3482,126,268,270,195,0.8571
118,1041,16261,166,831,248,245,0.8024
119,1041,25468,571,227,370,222,0.7613
120,1041,28762,650,849,224,218,0.6649
121,1043,3350,312,169,183,187,0.9354
122,1043,18356,48,625,272,360,0.628
123,1043,35205,514,603,241,414,0.5739
124,1044,3350,352,227,186,184,0.9335
125,1044,18356,93,718,270,361,0.8725
126,1044,35205,551,702,238,406,0.6276
127,1045,20876,39,758,330,247,0.8999
128,1045,29666,594,176,220,219,0.8682
129,1045,28762,136,210,207,203,0.8157
130,1045,3482,624,719,208,272,0.7999
131,1046,20876,73,799,327,242,0.9303
132,1046,3482,648,749,211,268,0.8884
133,1046,28762,151,220,214,204,0.7444
134,1046,29666,623,182,224,216,0.693
135,1047,28762,625,844,222,210,0.9183
136,1047,20876,588,257,328,242,0.8754
137,1047,29666,134,860,229,228,0.8171
138,1047,3482,142,291,212,257,0.7966
139,1050,2482,649,80,200,486,0.8346
140,1050,5093,135,848,278,276,0.8233
141,1050,22361,604,779,257,407,0.7789
142,1050,22626,93,175,334,471,0.6746
143,1051,4377,135,107,218,438,0.9184
144,1051,23222,490,659,378,469,0.9077
145,1051,5093,551,191,269,270,0.8341
146,1051,2482,84,677,228,483,0.7858
147,1053,23222,75,74,376,474,0.9467
148,1053,2482,617,49,217,482,0.8531
149,1053,4377,585,698,223,457,0.8262
150,1053,5093,103,800,275,276,0.7294
151,1055,31884,59,36,424,487,0.9381
152,1055,29666,647,183,220,216,0.881
153,1055,27732,84,730,324,274,0.8587
154,1055,3482,571,763,275,212,0.844
155,1056,3482,598,797,275,206,0.9152
156,1056,31884,73,50,437,495,0.8825
157,1056,29666,677,187,226,217,0.8513
158,1056,27732,117,776,322,267,0.684
159,1057,12777,81,68,322,512,0.8916
160,1057,25437,109,828,256,256,0.8662
161,1057,2482,607,62,248,478,0.8186
162,1057,4377,640,704,223,459,0.8075
163,1058,4377,652,707,222,466,0.8623
164,1058,25437,110,841,258,265,0.8312
165,1058,12777,85,105,324,511,0.8092
166,1058,2482,596,94,256,474,0.7331
167,1060,25437,554,206,248,251,0.8236
168,1060,2482,112,677,213,492,0.7752
169,1060,13394,116,47,237,489,0.7576
170,1060,22626,532,643,345,473,0.7546
171,1064,34596,55,129,454,419,0.9379
172,1064,25468,45,854,380,220,0.8852
173,1064,20237,617,191,225,221,0.8311
174,1064,3482,604,844,275,191,0.6952
175,1065,34596,488,684,454,438,0.9174
176,1065,3482,126,269,270,194,0.8501
177,1065,25468,571,227,371,223,0.7411
178,1065,20237,140,848,228,228,0.6897
179,1067,31884,561,670,398,531,0.9367
180,1067,27652,671,254,222,203,0.8768
181,1067,16261,117,843,249,246,0.8234
182,1067,3482,133,284,278,180,0.8086
183,1069,16547,643,163,238,230,0.9717
184,1069,21770,116,203,189,185,0.9582
185,1069,21025,138,868,177,175,0.8343
186,1069,1899,623,887,205,142,0.815
187,1070,16547,102,863,239,240,0.9685
188,1070,21770,685,880,200,195,0.9416
189,1070,21025,671,271,177,174,0.9024
190,1070,1899,176,280,198,138,0.7367
191,1073,22346,115,197,202,196,0.9004
