epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4457,1.59114,4.78196,1.54837,0.02368,0.00611,0.01488,0.00982,0.78268,4.71333,1.00244,4.27556e-05,4.27556e-05,4.27556e-05
2,37.5406,0.94544,4.04407,1.14648,0.68134,0.17111,0.14049,0.07947,1.48641,3.0356,1.40334,8.55724e-05,8.55724e-05,8.55724e-05
3,57.6213,0.92278,3.25218,1.1508,0.71062,0.29016,0.28118,0.20757,1.01763,2.21,1.05461,0.000127869,0.000127869,0.000127869
4,82.592,0.88399,2.67457,1.13207,0.75419,0.41207,0.45996,0.35615,0.95043,1.63525,1.02814,0.00012766,0.00012766,0.00012766
5,109.028,0.82464,2.24923,1.09235,0.66146,0.60768,0.60245,0.49603,0.7634,1.31238,0.93818,0.00012688,0.00012688,0.00012688
6,137.404,0.78262,1.94416,1.06279,0.61959,0.73962,0.71187,0.59235,0.70647,1.1138,0.91664,0.0001261,0.0001261,0.0001261
7,165.922,0.78937,1.75729,1.07134,0.68228,0.75184,0.75728,0.68076,0.49055,0.96243,0.85176,0.00012532,0.00012532,0.00012532
8,196.264,0.74677,1.61493,1.04253,0.62053,0.86889,0.77109,0.67932,0.53544,0.90589,0.86211,0.00012454,0.00012454,0.00012454
9,233.085,0.73258,1.54604,1.03543,0.70677,0.84082,0.81489,0.69346,0.66312,0.85407,0.89685,0.00012376,0.00012376,0.00012376
10,285.487,0.69889,1.45612,1.02117,0.68538,0.89594,0.81323,0.74,0.45387,0.83631,0.83858,0.00012298,0.00012298,0.00012298
11,345.126,0.69275,1.39617,1.01552,0.73177,0.89599,0.84325,0.76566,0.47615,0.75066,0.83798,0.0001222,0.0001222,0.0001222
12,397.327,0.69892,1.32965,1.01072,0.7093,0.94738,0.8531,0.78147,0.41806,0.73543,0.82849,0.00012142,0.00012142,0.00012142
13,448.783,0.68678,1.29223,1.00983,0.77039,0.90565,0.84839,0.79462,0.37421,0.71126,0.81283,0.00012064,0.00012064,0.00012064
14,511.726,0.65806,1.26728,0.99416,0.73235,0.9426,0.86485,0.78144,0.48175,0.71939,0.83813,0.00011986,0.00011986,0.00011986
15,553.889,0.65482,1.24646,0.98581,0.77528,0.92235,0.87555,0.79765,0.43659,0.6907,0.82406,0.00011908,0.00011908,0.00011908
16,612.778,0.65257,1.22912,0.98982,0.77913,0.9203,0.8745,0.81929,0.38342,0.69298,0.81156,0.0001183,0.0001183,0.0001183
17,658.792,0.63596,1.17162,0.98045,0.7528,0.95102,0.87526,0.75947,0.59914,0.67891,0.86435,0.00011752,0.00011752,0.00011752
18,713.712,0.63299,1.15262,0.97709,0.75967,0.95663,0.87265,0.79267,0.44895,0.64233,0.82839,0.00011674,0.00011674,0.00011674
19,768.972,0.63383,1.14914,0.9837,0.7928,0.96405,0.87581,0.78056,0.50902,0.63753,0.84315,0.00011596,0.00011596,0.00011596
20,817.851,0.60715,1.11574,0.96884,0.7622,0.96572,0.88282,0.83801,0.33087,0.6222,0.80109,0.00011518,0.00011518,0.00011518
21,876.379,0.60189,1.08997,0.96759,0.7673,0.97265,0.87647,0.80862,0.40627,0.61983,0.81893,0.0001144,0.0001144,0.0001144
22,916.854,0.58599,1.0777,0.96181,0.75784,0.94605,0.87641,0.79036,0.4664,0.63496,0.83434,0.00011362,0.00011362,0.00011362
