annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,16550,554,63,398,421,0.8613
2,1,24849,174,733,178,306,0.6869
3,1,27925,595,667,258,492,0.6733
4,1,1899,157,247,204,133,0.5713
5,10,21770,641,287,190,189,0.9162
6,10,1899,643,837,188,199,0.9108
7,10,29450,101,219,410,247,0.8989
8,10,16547,101,801,244,250,0.8797
9,100,16547,584,126,232,235,0.9216
10,100,33008,518,782,379,228,0.8367
11,100,1899,136,241,190,168,0.7806
12,100,18109,43,740,312,310,0.6162
13,1003,34596,36,155,454,424,0.9224
14,1003,16231,646,182,194,186,0.9017
15,1003,27732,120,762,319,289,0.857
16,1003,3482,604,784,279,220,0.7972
17,1004,34596,506,645,463,469,0.9413
18,1004,16231,138,886,200,203,0.8909
19,1004,27732,562,255,306,282,0.8282
20,1004,3482,121,303,273,206,0.8203
21,1005,27732,85,719,325,294,0.8981
22,1005,16231,619,174,187,188,0.8753
23,1005,3482,578,755,276,215,0.845
24,1005,34596,22,121,440,436,0.8439
25,1006,25366,41,176,455,429,0.9391
26,1006,20237,615,188,227,230,0.8124
27,1006,3482,601,841,278,194,0.7965
28,1006,25468,47,851,378,229,0.7524
29,1007,20237,588,187,221,219,0.8375
30,1007,25366,27,156,440,426,0.836
31,1007,25468,12,808,384,231,0.7806
32,1007,3482,573,809,278,197,0.7276
33,1009,16261,546,183,237,235,0.8854
34,1009,22346,78,193,202,201,0.8787
35,1009,25468,13,810,382,230,0.804
36,1009,3482,575,809,277,197,0.7257
37,1010,22346,94,202,205,203,0.9264
38,1010,3482,601,843,278,192,0.8135
39,1010,25468,46,852,379,226,0.7622
40,1010,16261,573,190,244,238,0.7285
41,1012,16547,609,152,231,234,0.9175
42,1012,24849,137,697,188,308,0.774
43,1012,27925,568,624,261,493,0.7053
44,1012,1899,141,237,200,135,0.399
45,1013,24849,637,269,180,289,0.8473
46,1013,27925,148,138,251,469,0.7307
47,1013,16547,103,861,242,247,0.659
48,1013,1899,628,891,211,136,0.5204
49,1014,16547,637,161,239,231,0.9348
50,1014,24849,171,735,182,304,0.7007
51,1014,27925,597,669,256,490,0.668
52,1014,1899,157,249,203,130,0.5636
53,1015,35205,663,169,216,415,0.9083
54,1015,30307,64,120,404,416,0.8821
55,1015,3482,649,740,212,285,0.8818
56,1015,20876,114,764,331,237,0.8751
57,1016,20876,539,288,332,246,0.8893
58,1016,35205,98,665,233,427,0.8634
59,1016,30307,527,713,416,430,0.8613
60,1016,3482,139,288,218,267,0.7843
61,1018,27732,557,250,307,280,0.8661
62,1018,3482,121,304,272,207,0.7925
63,1018,30307,435,728,476,340,0.7415
64,1018,29666,85,857,234,238,0.708
65,1019,29666,665,174,231,227,0.9203
66,1019,27732,127,766,320,292,0.8816
67,1019,3482,604,784,278,219,0.7987
68,1019,30307,91,199,463,318,0.3757
69,102,16547,612,129,241,239,0.9716
70,102,1899,150,250,200,169,0.9051
71,102,33008,544,827,375,218,0.7527
72,102,18109,78,783,307,305,0.5863
73,1020,29666,637,172,220,223,0.9279
74,1020,27732,90,724,326,293,0.8957
75,1020,3482,578,755,277,215,0.8589
76,1020,30307,73,184,455,309,0.5353
77,1022,33207,581,806,214,212,0.9329
78,1022,16550,625,16,282,477,0.8762
79,1022,29450,37,792,419,240,0.6889
80,1022,1899,147,237,181,188,0.4948
81,1023,33207,609,840,212,205,0.9124
82,1023,16550,646,17,301,501,0.8163
83,1023,29450,69,833,420,234,0.8118
84,1023,1899,165,244,186,192,0.5461
85,1025,20876,539,288,331,244,0.8747
86,1025,28762,642,858,222,218,0.7955
87,1025,3482,140,288,217,266,0.7832
88,1025,16261,106,830,252,250,0.7315
89,1026,20876,113,764,332,241,0.868
90,1026,28762,133,201,214,211,0.8616
91,1026,3482,651,745,208,281,0.8439
92,1026,16261,628,187,245,239,0.6887
93,1027,13899,186,282,199,236,0.9288
94,1027,3350,352,880,191,198,0.7104
95,1027,16231,598,257,189,194,0.3146
96,1028,3350,389,152,188,196,0.8685
97,1028,13899,552,705,205,255,0.8543
98,1028,16231,133,776,194,195,0.844
99,1029,13899,591,792,205,248,0.9166
100,1029,3350,431,212,189,189,0.8591
101,1029,16231,175,863,193,196,0.6916
102,1030,27732,85,721,327,293,0.8885
103,1030,35205,570,116,248,389,0.8831
104,1030,3482,578,754,278,216,0.848
105,1030,34596,45,141,446,418,0.7456
106,1034,36636,91,901,278,175,0.8376
107,1034,3482,150,215,246,225,0.8205
108,1034,28762,649,881,225,217,0.7029
109,1034,19860,638,274,224,175,0.5909
110,1039,28762,123,212,215,207,0.8425
111,1039,3482,601,842,278,193,0.8128
112,1039,25468,46,851,379,229,0.7607
113,1039,16261,573,190,244,237,0.7254
114,104,21324,619,758,171,237,0.956
115,104,18356,108,606,249,384,0.8375
116,104,3350,323,200,185,193,0.7778
117,1041,3482,124,269,270,195,0.8604
118,1041,16261,164,829,252,250,0.7945
119,1041,25468,568,221,374,235,0.7819
120,1041,28762,650,849,225,220,0.7309
121,1043,18356,49,622,270,367,0.9206
122,1043,35205,508,600,249,425,0.8458
123,1043,3350,311,166,186,191,0.6935
124,1044,18356,94,716,265,365,0.8963
125,1044,3350,352,225,188,189,0.8667
126,1044,35205,548,699,245,415,0.7614
127,1045,20876,39,754,329,256,0.9037
128,1045,28762,132,210,210,208,0.8645
129,1045,3482,624,714,208,280,0.8562
130,1045,29666,593,174,220,224,0.8256
131,1046,20876,71,796,329,248,0.9104
132,1046,28762,149,218,214,210,0.8625
133,1046,3482,648,746,213,279,0.8425
134,1046,29666,621,178,226,224,0.8169
135,1047,20876,586,249,328,260,0.8476
136,1047,29666,130,856,234,236,0.835
137,1047,3482,141,286,216,270,0.7713
138,1047,28762,624,840,224,219,0.7238
139,1050,22361,607,772,255,419,0.9321
140,1050,2482,646,77,201,494,0.913
141,1050,5093,136,844,278,282,0.7959
142,1050,22626,92,170,333,480,0.7639
143,1051,4377,133,99,220,451,0.9179
144,1051,5093,548,186,272,279,0.8591
145,1051,2482,90,671,230,493,0.7827
146,1051,23222,484,651,390,483,0.5586
147,1053,2482,622,48,217,490,0.8467
148,1053,5093,104,795,276,285,0.8409
149,1053,4377,588,690,223,467,0.8307
150,1053,23222,78,71,378,475,0.7326
151,1055,29666,647,180,220,222,0.9097
152,1055,3482,568,764,279,213,0.8725
153,1055,27732,81,722,328,286,0.8645
154,1055,31884,53,30,433,490,0.8584
155,1056,29666,676,182,227,227,0.9157
156,1056,27732,116,763,324,288,0.8768
157,1056,31884,65,51,450,493,0.8313
158,1056,3482,596,793,278,216,0.785
159,1057,2482,607,59,246,483,0.8887
160,1057,4377,642,700,224,467,0.8735
161,1057,25437,109,825,256,263,0.8282
162,1057,12777,80,64,328,519,0.7964
163,1058,2482,598,95,255,475,0.8528
164,1058,12777,86,96,329,524,0.8497
165,1058,4377,653,703,221,472,0.8415
166,1058,25437,109,835,264,275,0.7727
167,1060,25437,553,197,250,264,0.8457
168,1060,13394,115,40,242,496,0.8015
169,1060,22626,530,634,353,486,0.7833
170,1060,2482,116,670,215,503,0.7795
171,1064,34596,58,131,455,419,0.9461
172,1064,20237,616,189,226,226,0.8078
173,1064,3482,601,842,277,193,0.7846
174,1064,25468,46,852,378,228,0.7479
175,1065,34596,476,681,472,442,0.9555
176,1065,3482,124,269,270,197,0.8641
177,1065,25468,567,220,376,237,0.7819
178,1065,20237,139,845,232,234,0.7403
179,1067,27652,668,249,225,212,0.9052
180,1067,3482,130,285,280,181,0.8939
181,1067,31884,551,659,413,549,0.8803
182,1067,16261,115,839,252,255,0.8182
183,1069,16547,641,162,239,232,0.9114
184,1069,21770,116,200,190,190,0.8366
185,1069,1899,622,887,206,143,0.7613
186,1069,21025,136,863,180,187,0.6574
187,1070,16547,101,859,242,249,0.7743
188,1070,21025,672,270,177,177,0.733
189,1070,21770,683,878,202,201,0.6757
190,1070,1899,172,279,204,142,0.6243
191,1073,22346,115,195,202,202,0.8422
192,1073,36636,635,174,180,248,0.7787
193,1073,3482,534,775,268,233,0.76
194,1073,27776,142,772,182,209,0.7474
195,1075,29870,599,767,211,233,0.9288
196,1075,4542,609,139,204,206,0.8491
197,1075,16550,90,589,342,473,0.8305
198,1075,3543,102,156,203,206,0.6034
199,1076,4542,129,911,219,221,0.9285
200,1076,16550,530,185,336,446,0.8692
201,1076,3543,665,894,219,222,0.8128
202,1076,29870,168,275,203,219,0.6497
203,1077,16550,125,636,337,471,0.8615
204,1077,4542,637,137,212,209,0.7714
205,1077,3543,116,161,210,210,0.7443
206,1077,29870,633,804,200,227,0.6063
207,1079,20876,68,795,328,251,0.9159
208,1079,22346,118,216,206,203,0.8966
209,1079,3482,645,750,213,281,0.8437
210,1079,29666,622,181,226,226,0.8159
211,108,22361,586,738,257,418,0.8923
212,108,2482,605,79,240,482,0.8755
213,108,25437,143,837,255,265,0.7644
214,108,12777,112,38,278,539,0.6641
215,1080,20876,36,755,328,256,0.9059
216,1080,22346,101,208,202,200,0.8708
217,1080,3482,621,718,209,279,0.862
218,1080,29666,594,177,222,223,0.8177
219,1081,44198,91,179,260,241,0.9829
220,1081,16550,477,192,464,344,0.8888
221,1081,1899,609,897,207,143,0.8077
222,1081,21025,124,861,180,185,0.565
223,1085,16231,627,218,186,188,0.9308
224,1085,3482,626,713,206,280,0.8756
225,1085,20876,82,721,335,247,0.8677
226,1085,25366,31,130,446,416,0.8338
227,1087,16550,83,584,302,491,0.7924
228,1087,31704,569,669,261,462,0.7128
229,1087,3543,131,170,205,209,0.6963
230,1087,10220,620,201,221,222,0.5144
231,1089,16550,577,176,299,466,0.8634
232,1089,3543,632,883,216,218,0.8042
233,1089,31704,147,138,257,436,0.8028
234,1089,10220,104,828,232,236,0.3145
235,109,35205,106,768,306,404,0.8947
236,109,25366,572,710,395,504,0.8527
237,109,3482,150,213,246,229,0.8295
238,109,19860,638,272,224,176,0.5905
239,1092,44198,134,237,242,242,0.9787
240,1092,1899,652,843,210,169,0.7111
241,1092,16547,80,905,246,254,0.4801
242,1093,34596,495,684,467,452,0.9562
243,1093,3482,150,214,246,228,0.8156
244,1093,16261,97,844,253,252,0.7156
245,1093,19860,638,272,223,177,0.5834
246,1095,34596,41,123,456,422,0.9231
247,1095,3482,599,863,259,235,0.8369
248,1095,16261,636,169,245,242,0.7896
249,1095,19860,127,860,222,175,0.7174
250,1096,27992,548,776,311,248,0.9651
251,1096,16550,474,110,452,330,0.8181
252,1096,6562,164,669,222,370,0.785
253,1096,3543,91,192,204,206,0.6462
254,1097,27992,575,811,307,242,0.9492
255,1097,16550,503,115,457,348,0.8229
256,1097,6562,197,709,220,370,0.8032
257,1097,3543,106,200,210,210,0.6614
258,1098,16550,18,777,478,361,0.9261
259,1098,6562,577,224,221,355,0.8409
260,1098,27992,123,252,297,236,0.8064
261,1098,3543,673,857,220,220,0.6446
262,110,25366,38,50,389,482,0.9038
263,110,35205,580,87,290,392,0.8461
264,110,3482,598,863,260,235,0.8021
265,110,19860,127,860,222,175,0.7105
266,1100,31884,52,95,421,499,0.8448
267,1100,36636,635,173,181,251,0.8193
268,1100,27776,142,770,181,212,0.7558
269,1100,3482,535,774,267,238,0.7548
270,1101,36636,665,175,186,258,0.921
271,1101,31884,66,118,440,500,0.799
272,1101,3482,562,812,266,222,0.7104
273,1101,27776,175,808,178,205,0.6193
274,1105,27732,122,761,319,290,0.8755
275,1105,22346,111,207,207,206,0.8293
276,1105,3482,605,785,278,219,0.8207
277,1105,35205,603,118,250,404,0.7503
278,1109,28762,137,223,214,206,0.9626
279,1109,27652,96,849,222,211,0.8761
280,1109,3482,586,839,286,176,0.8571
281,1109,16261,621,177,243,238,0.7462
282,1111,28762,113,186,212,202,0.9534
283,1111,27652,57,806,230,220,0.8855
284,1111,29666,601,174,222,219,0.8662
285,1111,3482,556,809,289,179,0.8406
286,1114,27652,667,249,226,212,0.906
287,1114,3482,131,285,279,183,0.9003
288,1114,35205,103,684,210,423,0.8626
289,1114,30307,552,688,404,443,0.7973
290,1115,35205,648,140,206,407,0.945
291,1115,30307,40,124,378,409,0.88
292,1115,27652,59,804,230,222,0.862
293,1115,3482,556,807,290,182,0.8575
294,1116,27652,95,848,222,214,0.8664
295,1116,35205,681,148,202,417,0.8557
296,1116,30307,53,139,391,423,0.8556
297,1116,3482,585,839,287,176,0.84
298,1118,3543,674,854,219,220,0.8943
299,1118,6562,582,232,220,349,0.8718
300,1118,16547,100,876,245,250,0.8023
301,1118,29870,198,243,174,226,0.731
302,1119,16547,642,141,239,236,0.9251
303,1119,3543,108,203,211,210,0.8504
304,1119,6562,190,701,221,372,0.8417
305,1119,29870,635,825,170,239,0.6075
306,112,16550,151,577,315,488,0.8797
307,112,3543,123,228,211,213,0.7877
308,112,33008,559,798,374,231,0.5878
309,112,10220,630,195,227,224,0.4633
310,1121,28762,619,857,223,219,0.9348
311,1121,3482,124,268,270,196,0.8759
312,1121,29666,136,869,233,231,0.7851
313,1121,25468,566,182,338,298,0.7063
314,1123,25366,485,655,459,455,0.9061
315,1123,16261,149,795,254,254,0.8766
316,1123,27732,561,255,307,279,0.8356
317,1123,3482,121,304,273,206,0.8057
318,1125,25366,59,165,455,422,0.9073
319,1125,27732,121,762,318,289,0.8416
320,1125,3482,604,786,278,218,0.7877
321,1125,16261,588,222,247,237,0.7842
322,1126,31884,506,721,469,492,0.9515
323,1126,20876,540,287,332,248,0.9097
324,1126,3482,140,288,218,265,0.776
325,1126,16261,107,828,252,255,0.7688
326,1129,22346,679,822,215,214,0.8632
327,1129,27732,562,254,307,277,0.8516
328,1129,3482,122,304,271,207,0.8037
329,1129,20237,111,850,234,235,0.6832
330,113,10220,123,839,230,236,0.9105
331,113,16550,530,216,309,478,0.8543
332,113,3543,655,825,217,225,0.7844
333,113,33008,76,260,364,241,0.7765
334,1135,1899,151,251,200,168,0.8816
335,1135,16550,598,49,294,490,0.741
336,1135,33008,545,828,374,215,0.689
337,1135,18109,78,784,307,304,0.5637
338,1136,1899,641,850,205,180,0.8562
339,1136,33008,83,250,368,224,0.7941
340,1136,16550,85,695,301,508,0.7792
341,1136,18109,608,215,301,298,0.3664
342,1138,34596,31,79,375,495,0.9162
343,1138,20237,592,169,222,219,0.8833
344,1138,27652,62,806,228,220,0.866
345,1138,3482,559,807,289,181,0.8482
346,114,3543,109,219,206,210,0.8674
347,114,16550,119,528,320,494,0.7432
348,114,33008,527,757,382,243,0.5789
349,114,10220,603,187,221,225,0.379
350,1140,34596,44,109,389,490,0.9083
351,1140,27652,98,848,220,213,0.8647
352,1140,3482,586,838,286,177,0.843
353,1140,20237,620,171,229,224,0.826
354,1141,12080,68,109,225,441,0.924
355,1141,25437,554,187,252,267,0.8735
356,1141,23222,566,561,307,517,0.8489
357,1141,2482,64,643,304,464,0.7411
358,1142,12080,647,698,239,457,0.8511
359,1142,23222,65,128,300,509,0.8346
360,1142,25437,120,817,256,263,0.8264
361,1142,2482,578,110,297,465,0.7997
362,1143,12080,654,705,250,468,0.7761
363,1143,23222,64,152,308,522,0.7754
364,1143,25437,122,828,264,275,0.7718
365,1143,2482,566,137,307,463,0.6735
366,1144,31884,53,172,445,488,0.9068
367,1144,3482,601,839,278,196,0.7918
368,1144,16261,572,189,245,240,0.7757
369,1144,25468,46,851,380,228,0.7571
370,1148,3350,382,157,186,195,0.8517
371,1148,16231,144,729,196,199,0.6141
372,1148,41767,550,626,270,317,0.4146
373,1149,3350,424,218,189,188,0.8324
374,1149,41767,590,717,267,316,0.6501
375,1149,16231,185,817,196,195,0.5852
376,115,36636,99,877,270,185,0.9113
377,115,25366,486,636,432,476,0.9025
378,115,27732,556,249,308,280,0.856
379,115,3482,120,304,274,205,0.7943
380,1150,34596,77,58,415,462,0.9217
