epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6923,1.37571,3.40678,1.63049,0.33223,0.41421,0.2515,0.10353,2.27314,3.84513,2.62884,0.0677061,0.000162281,0.000162281
2,30.6553,0.84816,1.58432,1.14401,0.61524,0.75129,0.71599,0.49015,1.25354,1.46299,1.33053,0.034533,0.000322434,0.000322434
3,42.8601,0.76851,1.28103,1.10408,0.70104,0.73865,0.78132,0.71434,0.44456,1.06934,0.86726,0.00135318,0.000475988,0.000475988
4,55.6645,0.7259,1.18122,1.07686,0.67732,0.85196,0.8532,0.77926,0.47579,0.95438,0.86477,0.0004703,0.0004703,0.0004703
5,68.2624,0.71221,1.05791,1.06645,0.72879,0.91252,0.86001,0.78249,0.45308,0.73917,0.85631,0.0004604,0.0004604,0.0004604
6,81.2447,0.7189,1.00255,1.07402,0.73259,0.90415,0.86313,0.7969,0.41323,0.73684,0.84608,0.0004505,0.0004505,0.0004505
7,93.536,0.66777,0.95451,1.04993,0.67811,0.95716,0.85989,0.78261,0.47966,0.65572,0.87634,0.0004406,0.0004406,0.0004406
8,105.681,0.66756,0.91347,1.04687,0.73454,0.93629,0.88723,0.83357,0.36397,0.64726,0.8325,0.0004307,0.0004307,0.0004307
9,118.434,0.64636,0.89927,1.03185,0.72004,0.96339,0.88462,0.82386,0.38375,0.57545,0.8382,0.0004208,0.0004208,0.0004208
10,130.181,0.6427,0.86688,1.03711,0.72708,0.97408,0.87506,0.82684,0.3532,0.58305,0.82573,0.0004109,0.0004109,0.0004109
11,142.256,0.63014,0.82686,1.02963,0.76333,0.97961,0.87144,0.79771,0.45302,0.54074,0.85745,0.000401,0.000401,0.000401
12,154.435,0.61607,0.81696,1.02134,0.75617,0.91949,0.87002,0.81413,0.36144,0.58923,0.83175,0.0003911,0.0003911,0.0003911
13,166.763,0.59029,0.78998,1.00614,0.77431,0.98439,0.87797,0.79957,0.47268,0.53893,0.8646,0.0003812,0.0003812,0.0003812
14,178.848,0.60539,0.77063,1.0123,0.7523,0.98646,0.89052,0.853,0.30979,0.51216,0.81523,0.0003713,0.0003713,0.0003713
15,191.513,0.58456,0.76309,1.00447,0.76793,0.98178,0.87117,0.83196,0.31412,0.49255,0.81258,0.0003614,0.0003614,0.0003614
16,203.546,0.58269,0.74336,0.99702,0.77236,0.98935,0.87554,0.83949,0.31467,0.51666,0.8136,0.0003515,0.0003515,0.0003515
17,215.809,0.59834,0.73625,1.00519,0.76195,0.98268,0.87516,0.82203,0.37583,0.50676,0.8324,0.0003416,0.0003416,0.0003416
18,227.569,0.55618,0.72311,0.98643,0.77581,0.98032,0.88056,0.83926,0.31947,0.50314,0.81712,0.0003317,0.0003317,0.0003317
19,239.858,0.56524,0.70517,0.99293,0.77466,0.98049,0.88869,0.81592,0.4282,0.48907,0.84727,0.0003218,0.0003218,0.0003218
20,251.538,0.5509,0.70026,0.98491,0.76757,0.98766,0.8847,0.83169,0.36847,0.50279,0.8259,0.0003119,0.0003119,0.0003119
21,263.744,0.52215,0.67772,0.97202,0.73714,0.98793,0.88338,0.85151,0.28671,0.47108,0.80372,0.000302,0.000302,0.000302
22,275.638,0.53721,0.69321,0.98122,0.77116,0.98663,0.89097,0.85129,0.30478,0.49133,0.81084,0.0002921,0.0002921,0.0002921
23,287.832,0.50667,0.66185,0.96604,0.78893,0.98452,0.88825,0.84588,0.32205,0.46708,0.81001,0.0002822,0.0002822,0.0002822
24,299.745,0.51214,0.65925,0.96639,0.77053,0.98643,0.88062,0.84544,0.29055,0.4588,0.80521,0.0002723,0.0002723,0.0002723
25,312.091,0.49416,0.65003,0.95625,0.77128,0.9786,0.87511,0.84795,0.28577,0.45926,0.80247,0.0002624,0.0002624,0.0002624
26,324.142,0.50437,0.65445,0.96343,0.78894,0.99396,0.86668,0.83422,0.29674,0.44577,0.80286,0.0002525,0.0002525,0.0002525
27,336.282,0.48057,0.63478,0.95149,0.78281,0.99094,0.87966,0.84622,0.28604,0.44133,0.80343,0.0002426,0.0002426,0.0002426
28,348.243,0.47705,0.63468,0.95221,0.7847,0.9914,0.88104,0.85293,0.27818,0.44498,0.79982,0.0002327,0.0002327,0.0002327
29,360.119,0.47253,0.62285,0.95107,0.77852,0.99518,0.8746,0.8493,0.28057,0.44715,0.79826,0.0002228,0.0002228,0.0002228
30,372.134,0.47841,0.62596,0.94838,0.78194,0.97698,0.87677,0.847,0.29758,0.44814,0.8003,0.0002129,0.0002129,0.0002129
