annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,24849,166,737,190,292,0.8981
2,1,27925,598,674,262,484,0.8675
3,1,16550,553,69,400,411,0.8523
4,1,1899,157,250,204,127,0.8252
5,10,16547,99,806,243,237,0.9405
6,10,1899,640,843,191,188,0.9259
7,10,21770,643,290,191,181,0.8934
8,10,29450,101,236,409,222,0.734
9,100,16547,584,128,234,228,0.9373
10,100,1899,132,236,200,175,0.9086
11,100,33008,517,787,385,216,0.7906
12,100,18109,42,745,312,302,0.7683
13,1003,16231,646,184,195,181,0.8969
14,1003,27732,121,766,318,276,0.8665
15,1003,34596,30,155,458,423,0.8423
16,1003,3482,605,789,276,213,0.8297
17,1004,16231,139,892,200,193,0.9048
18,1004,27732,564,258,303,271,0.8789
19,1004,34596,510,654,455,449,0.8563
20,1004,3482,124,305,271,203,0.8208
21,1005,16231,617,177,192,184,0.9254
22,1005,27732,87,723,322,285,0.8763
23,1005,3482,580,747,276,223,0.8384
24,1005,34596,19,129,441,424,0.8258
25,1006,25366,44,173,447,432,0.8861
26,1006,3482,601,842,279,192,0.8494
27,1006,25468,46,853,378,225,0.8425
28,1006,20237,616,193,229,220,0.8105
29,1007,25366,30,156,432,426,0.898
30,1007,20237,587,189,225,216,0.8711
31,1007,25468,2,804,394,232,0.8286
32,1007,3482,573,807,282,195,0.8126
33,1009,22346,80,195,200,198,0.8873
34,1009,3482,573,807,283,195,0.8188
35,1009,25468,1,805,394,231,0.814
36,1009,16261,545,185,240,232,0.7944
37,1010,22346,96,202,204,197,0.8706
38,1010,3482,601,842,279,193,0.8503
39,1010,25468,46,853,378,225,0.8409
40,1010,16261,571,191,248,237,0.7678
41,1012,16547,609,157,233,225,0.9633
42,1012,24849,141,703,185,294,0.9318
43,1012,1899,134,237,210,134,0.9126
44,1012,27925,569,629,262,486,0.8552
45,1013,16547,103,866,243,237,0.9251
46,1013,24849,636,273,182,278,0.9154
47,1013,27925,145,145,263,454,0.8809
48,1013,1899,630,889,210,139,0.8283
49,1014,16547,639,163,238,225,0.9738
50,1014,24849,167,739,184,292,0.8935
51,1014,27925,598,673,262,485,0.8681
52,1014,1899,157,251,204,125,0.8353
53,1015,20876,110,761,339,243,0.9436
54,1015,35205,654,176,229,404,0.9227
55,1015,30307,67,125,403,403,0.8788
56,1015,3482,641,743,223,271,0.8435
57,1016,35205,92,670,243,409,0.9034
58,1016,20876,542,286,336,250,0.8968
59,1016,30307,530,718,410,421,0.8761
60,1016,3482,135,286,220,264,0.814
61,1018,29666,86,861,233,229,0.8777
62,1018,27732,559,253,303,268,0.8741
63,1018,3482,124,306,271,203,0.8261
64,1018,30307,440,738,472,312,0.7253
65,1019,27732,127,773,315,280,0.8782
66,1019,29666,667,179,225,215,0.8663
67,1019,3482,605,789,276,212,0.8266
68,1019,30307,96,205,456,307,0.7778
69,102,16547,612,134,241,229,0.9614
70,102,1899,150,251,200,167,0.9092
71,102,33008,542,832,382,205,0.7979
72,102,18109,80,788,303,296,0.6415
73,1020,29666,638,175,220,217,0.9078
74,1020,27732,91,729,321,283,0.865
75,1020,3482,580,747,277,222,0.8392
76,1020,30307,73,184,452,302,0.7761
77,1022,33207,581,809,214,204,0.8881
78,1022,1899,144,241,184,180,0.8517
79,1022,16550,619,22,295,472,0.8484
80,1022,29450,35,800,421,226,0.812
81,1023,33207,609,842,212,201,0.9011
82,1023,16550,650,26,292,483,0.8515
83,1023,1899,166,248,184,181,0.8477
84,1023,29450,69,840,418,225,0.7776
85,1025,28762,643,862,220,210,0.9345
86,1025,20876,542,285,335,252,0.8997
87,1025,3482,137,285,220,265,0.8171
88,1025,16261,112,836,247,240,0.8168
89,1026,28762,133,203,217,203,0.9511
90,1026,20876,111,761,338,245,0.9392
91,1026,3482,649,750,211,268,0.837
92,1026,16261,629,189,244,235,0.7627
93,1027,3350,351,881,192,193,0.869
94,1027,13899,182,279,207,243,0.8087
95,1027,16231,600,259,189,191,0.4393
96,1028,13899,549,705,210,252,0.8895
97,1028,3350,391,155,189,191,0.8863
98,1028,16231,134,777,193,193,0.8583
99,1029,3350,432,214,188,185,0.8976
100,1029,13899,593,796,200,245,0.8679
101,1029,16231,173,859,194,201,0.8006
102,1030,35205,569,116,253,387,0.8957
103,1030,27732,87,723,322,284,0.8741
104,1030,34596,46,141,442,420,0.8313
105,1030,3482,581,747,277,222,0.8287
106,1034,28762,650,881,223,215,0.9085
107,1034,36636,92,904,278,168,0.8677
108,1034,3482,148,219,251,220,0.8385
109,1034,19860,638,277,222,170,0.633
110,1039,28762,125,212,215,204,0.9623
111,1039,3482,601,842,279,192,0.8511
112,1039,25468,46,853,379,225,0.8265
113,1039,16261,571,191,247,236,0.7735
114,104,18356,105,604,253,374,0.8894
115,104,21324,614,763,179,230,0.8874
116,104,3350,322,201,185,191,0.8704
117,1041,28762,653,851,222,213,0.8877
118,1041,3482,125,268,273,194,0.834
119,1041,25468,570,224,377,226,0.8269
120,1041,16261,162,831,254,245,0.8077
121,1043,3350,312,168,184,187,0.9224
122,1043,18356,51,622,265,356,0.8762
123,1043,35205,511,605,249,417,0.7431
124,1044,3350,353,226,184,184,0.9289
125,1044,18356,96,718,265,357,0.8069
126,1044,35205,553,698,235,416,0.6879
127,1045,28762,133,211,210,203,0.9536
128,1045,20876,35,750,337,263,0.9328
129,1045,29666,592,176,223,218,0.9116
130,1045,3482,620,718,216,273,0.8505
131,1046,28762,150,221,216,204,0.9488
132,1046,20876,72,796,327,246,0.9203
133,1046,3482,640,746,221,269,0.8524
134,1046,29666,621,181,228,217,0.8511
135,1047,28762,625,844,222,211,0.9492
136,1047,20876,589,253,329,255,0.8955
137,1047,29666,137,860,228,228,0.8714
138,1047,3482,136,284,221,265,0.8205
139,1050,22361,604,783,258,404,0.8416
140,1050,22626,89,173,339,475,0.8077
141,1050,2482,646,78,207,489,0.8051
142,1050,5093,136,848,278,273,0.7957
143,1051,23222,488,653,380,478,0.9097
144,1051,4377,134,110,221,435,0.8825
145,1051,2482,93,679,223,481,0.7816
146,1051,5093,549,191,272,272,0.7511
147,1053,23222,78,70,376,480,0.8908
148,1053,4377,584,699,224,458,0.8348
149,1053,2482,614,54,225,480,0.8136
150,1053,5093,105,801,281,275,0.8114
151,1055,29666,646,183,221,215,0.9086
152,1055,31884,55,30,427,492,0.8927
153,1055,27732,80,725,328,280,0.8695
154,1055,3482,570,757,281,216,0.8653
155,1056,31884,66,50,435,489,0.9091
156,1056,29666,675,186,228,219,0.8709
157,1056,27732,115,765,325,277,0.869
158,1056,3482,596,796,279,208,0.8459
159,1057,25437,111,827,255,257,0.8569
160,1057,4377,638,708,225,454,0.841
161,1057,2482,608,67,239,475,0.801
162,1057,12777,69,75,346,503,0.7377
163,1058,25437,112,840,259,267,0.8654
164,1058,12777,81,95,337,517,0.8007
165,1058,2482,596,98,256,465,0.7876
166,1058,4377,649,706,225,469,0.7718
167,1060,25437,553,204,251,252,0.8823
168,1060,22626,526,641,357,473,0.859
169,1060,2482,112,679,213,492,0.7877
170,1060,13394,114,47,241,488,0.7627
171,1064,3482,601,842,280,193,0.8523
172,1064,25468,45,854,379,225,0.8423
173,1064,34596,57,131,454,416,0.8413
174,1064,20237,616,193,229,220,0.8141
175,1065,34596,477,675,473,447,0.8853
176,1065,3482,125,269,273,193,0.8372
177,1065,20237,136,847,234,230,0.8333
178,1065,25468,564,224,380,229,0.8181
179,1067,31884,554,671,397,526,0.9097
180,1067,16261,119,844,247,244,0.86
181,1067,3482,134,286,277,176,0.8487
182,1067,27652,669,253,223,202,0.8328
183,1069,16547,641,165,240,225,0.9713
184,1069,21025,138,867,180,177,0.9496
185,1069,21770,114,202,194,187,0.9059
186,1069,1899,622,887,207,142,0.8539
187,1070,21770,685,880,198,195,0.9485
188,1070,16547,99,865,244,236,0.9225
189,1070,21025,671,269,181,176,0.9057
190,1070,1899,173,279,203,141,0.8194
191,1073,36636,635,173,181,249,0.8697
192,1073,22346,112,198,205,196,0.8471
193,1073,3482,534,778,269,226,0.8405
194,1073,27776,143,773,183,203,0.7933
195,1075,29870,600,769,207,228,0.9386
196,1075,3543,102,158,205,202,0.8966
197,1075,16550,95,592,338,465,0.8783
198,1075,4542,607,138,208,205,0.8029
199,1076,4542,132,915,217,214,0.9419
200,1076,29870,166,279,205,210,0.9224
201,1076,3543,666,897,217,215,0.9215
202,1076,16550,534,189,330,442,0.8824
203,1077,29870,627,808,206,219,0.9632
204,1077,3543,119,163,207,205,0.8841
205,1077,16550,129,641,338,461,0.8498
206,1077,4542,637,141,214,203,0.7025
207,1079,20876,66,789,334,258,0.921
208,1079,3482,638,749,221,269,0.8665
209,1079,29666,621,184,230,217,0.8531
210,1079,22346,112,214,215,203,0.8483
211,108,25437,143,843,256,255,0.8655
212,108,22361,582,744,262,411,0.8478
213,108,2482,606,80,244,479,0.8097
214,108,12777,104,49,298,521,0.7422
215,1080,20876,32,749,337,264,0.9336
216,1080,29666,593,178,223,218,0.9152
217,1080,3482,618,722,215,271,0.8514
218,1080,22346,102,206,205,201,0.8474
219,1081,44198,89,183,258,231,0.9833
220,1081,1899,606,900,212,133,0.9088
221,1081,21025,124,863,182,178,0.8806
222,1081,16550,479,201,464,331,0.7611
223,1085,25366,32,135,439,409,0.924
224,1085,20876,87,721,333,247,0.9089
225,1085,16231,625,219,191,185,0.9061
226,1085,3482,621,716,215,274,0.8564
227,1087,16550,84,588,303,489,0.867
228,1087,31704,566,672,261,461,0.8426
229,1087,3543,131,175,206,199,0.8217
230,1087,10220,621,204,222,216,0.7989
231,1089,16550,578,180,301,466,0.8855
232,1089,3543,633,885,216,214,0.8696
233,1089,31704,149,144,254,425,0.8651
234,1089,10220,104,831,232,228,0.8318
235,109,25366,576,714,383,500,0.9209
236,109,35205,104,771,307,395,0.9098
237,109,3482,147,219,252,220,0.8346
238,109,19860,638,278,221,169,0.6261
239,1092,44198,133,241,242,232,0.9919
240,1092,1899,649,848,216,160,0.917
241,1092,16547,83,909,248,245,0.8885
242,1092,24849,564,204,322,302,0.8623
243,1093,34596,499,687,458,451,0.8983
244,1093,3482,148,219,251,221,0.8322
245,1093,16261,100,849,251,242,0.7827
246,1093,19860,638,278,221,170,0.6235
247,1095,3482,600,866,258,232,0.8357
248,1095,34596,47,123,451,425,0.8299
249,1095,16261,637,174,248,234,0.7964
250,1095,19860,126,862,222,173,0.6465
251,1096,27992,548,773,310,247,0.9723
252,1096,3543,88,193,209,203,0.9025
253,1096,6562,167,672,220,363,0.8696
254,1096,16550,478,112,448,329,0.8359
255,1097,27992,577,812,304,237,0.9656
256,1097,6562,196,716,221,357,0.8919
257,1097,3543,106,203,212,205,0.8522
258,1097,16550,503,126,458,328,0.7969
259,1098,3543,675,859,218,215,0.9114
260,1098,27992,126,259,296,227,0.8826
261,1098,16550,18,781,473,345,0.8403
262,1098,6562,577,230,220,343,0.8003
263,110,25366,41,53,383,480,0.9316
264,110,35205,577,99,298,375,0.8916
265,110,3482,596,864,265,235,0.8346
266,110,19860,126,862,222,173,0.6444
267,1100,31884,55,98,421,492,0.8934
268,1100,36636,631,177,186,243,0.8747
269,1100,3482,533,778,270,226,0.8385
270,1100,27776,144,773,183,204,0.8082
271,1101,31884,71,118,430,499,0.8944
272,1101,36636,665,181,187,249,0.8744
273,1101,3482,564,810,264,222,0.8662
274,1101,27776,169,806,186,205,0.815
275,1105,35205,596,127,262,390,0.8898
276,1105,27732,123,764,314,283,0.8754
277,1105,22346,115,210,204,197,0.8697
278,1105,3482,606,788,276,213,0.8297
279,1109,28762,137,223,216,201,0.9472
280,1109,27652,96,851,222,209,0.8555
281,1109,3482,586,841,286,172,0.8298
282,1109,16261,621,179,246,233,0.7718
283,1111,28762,114,186,210,200,0.9555
284,1111,29666,601,174,223,215,0.9121
285,1111,3482,556,804,294,181,0.8419
286,1111,27652,59,808,229,214,0.8184
287,1114,35205,103,684,215,419,0.9216
288,1114,30307,552,691,400,429,0.8884
289,1114,3482,134,286,277,176,0.8451
290,1114,27652,668,250,227,208,0.8214
291,1115,35205,642,138,215,402,0.9381
292,1115,30307,40,123,385,403,0.8608
293,1115,3482,556,803,294,182,0.8437
294,1115,27652,61,809,227,214,0.8121
295,1116,35205,672,156,217,402,0.9355
296,1116,30307,56,140,388,416,0.868
297,1116,27652,96,850,224,210,0.8594
298,1116,3482,586,841,286,173,0.8329
299,1118,3543,675,856,217,216,0.935
300,1118,29870,197,238,174,232,0.9206
301,1118,16547,98,879,245,243,0.8996
302,1118,6562,588,236,207,338,0.7946
303,1119,29870,627,829,181,239,0.963
304,1119,16547,641,143,240,230,0.9377
305,1119,6562,192,710,216,355,0.9315
306,1119,3543,107,204,211,206,0.8889
307,112,16550,154,584,315,472,0.899
308,112,3543,127,233,209,204,0.847
309,112,10220,631,197,228,216,0.8426
310,112,33008,560,800,362,221,0.7205
311,1121,28762,619,860,222,213,0.9557
312,1121,29666,139,869,231,228,0.8578
313,1121,25468,567,184,343,292,0.8397
314,1121,3482,127,270,272,189,0.831
315,1123,25366,490,662,451,449,0.9028
316,1123,16261,153,802,248,242,0.8888
317,1123,27732,564,258,303,271,0.8801
318,1123,3482,119,295,278,216,0.8265
319,1125,25366,64,156,439,431,0.8932
320,1125,27732,122,766,318,277,0.8674
321,1125,3482,605,789,275,213,0.8288
322,1125,16261,588,224,246,234,0.7699
323,1126,31884,508,729,467,478,0.9014
324,1126,20876,542,285,336,254,0.8949
325,1126,16261,112,835,248,241,0.8545
326,1126,3482,137,283,222,266,0.8405
327,1129,27732,564,257,302,271,0.8785
328,1129,22346,681,824,213,207,0.8674
329,1129,20237,111,853,233,228,0.8326
330,1129,3482,124,305,271,203,0.8224
331,113,3543,657,830,216,213,0.931
332,113,10220,124,844,232,226,0.9096
333,113,16550,525,223,313,465,0.8657
334,113,33008,77,265,362,224,0.7207
335,1135,1899,150,252,201,167,0.9167
336,1135,16550,597,49,302,486,0.8611
337,1135,33008,543,831,379,204,0.7882
338,1135,18109,80,788,303,296,0.6578
339,1136,1899,642,854,206,177,0.8971
340,1136,16550,89,702,299,497,0.868
341,1136,33008,88,253,367,212,0.7791
342,1136,18109,608,220,304,290,0.6524
343,1138,20237,595,171,220,214,0.879
344,1138,34596,33,91,374,479,0.861
345,1138,3482,558,802,294,182,0.8423
346,1138,27652,62,810,226,213,0.8249
347,114,3543,107,222,208,202,0.8941
348,114,16550,118,529,323,484,0.8926
