epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.184,1.18235,4.0979,1.2725,0.00421,0.13885,0.02491,0.01463,1.63107,3.67117,1.2423,0.0677061,0.000162281,0.000162281
2,125.275,0.84701,2.85669,1.04213,0.74109,0.16094,0.2218,0.17655,0.82553,2.62368,0.92862,0.034533,0.000322434,0.000322434
3,137.111,0.77756,2.28288,1.01639,0.43569,0.41069,0.37037,0.29462,0.87456,1.79652,0.95839,0.00135318,0.000475988,0.000475988
4,149.076,0.74168,1.95615,1.00037,0.62789,0.54602,0.54111,0.49852,0.43579,1.45607,0.82736,0.0004703,0.0004703,0.0004703
5,159.639,0.76387,1.66533,1.0087,0.59394,0.73217,0.6536,0.55007,0.70098,1.17926,0.89927,0.0004604,0.0004604,0.0004604
6,171.749,0.71442,1.49683,0.99228,0.59795,0.77552,0.7374,0.65259,0.548,1.01645,0.84925,0.0004505,0.0004505,0.0004505
7,183.646,0.66586,1.37107,0.9732,0.59499,0.78064,0.71967,0.66775,0.39762,1.10215,0.8184,0.0004406,0.0004406,0.0004406
8,195.129,0.66727,1.278,0.97336,0.63478,0.82188,0.79023,0.72063,0.44987,0.96965,0.82312,0.0004307,0.0004307,0.0004307
9,206.668,0.65618,1.22639,0.96409,0.67448,0.83854,0.81308,0.7026,0.56019,0.89889,0.85347,0.0004208,0.0004208,0.0004208
10,218.342,0.65032,1.14753,0.96432,0.72168,0.88275,0.83419,0.77526,0.38867,0.77312,0.81439,0.0004109,0.0004109,0.0004109
11,229.627,0.63962,1.08521,0.96909,0.72067,0.92902,0.86833,0.80419,0.38904,0.72976,0.8109,0.000401,0.000401,0.000401
12,241.479,0.64259,1.06869,0.96465,0.71953,0.92133,0.85762,0.7926,0.41258,0.73285,0.81243,0.0003911,0.0003911,0.0003911
13,252.576,0.5989,1.00906,0.94337,0.72641,0.94043,0.86487,0.77598,0.47963,0.69466,0.83251,0.0003812,0.0003812,0.0003812
14,264.735,0.6178,0.98633,0.95278,0.71148,0.96206,0.87322,0.81629,0.37269,0.68456,0.80181,0.0003713,0.0003713,0.0003713
15,276.055,0.60071,0.96177,0.94803,0.74654,0.94249,0.86472,0.81649,0.34639,0.67326,0.79622,0.0003614,0.0003614,0.0003614
16,288.22,0.5948,0.934,0.94406,0.74624,0.92653,0.85973,0.81391,0.32949,0.70949,0.79773,0.0003515,0.0003515,0.0003515
17,300.017,0.59935,0.9088,0.95035,0.7656,0.97334,0.86992,0.83059,0.31177,0.63891,0.79454,0.0003416,0.0003416,0.0003416
18,311.477,0.58692,0.9056,0.94099,0.75485,0.95291,0.87071,0.82405,0.32361,0.61533,0.79154,0.0003317,0.0003317,0.0003317
19,322.392,0.5742,0.87484,0.93867,0.76611,0.96373,0.875,0.80457,0.41706,0.604,0.81023,0.0003218,0.0003218,0.0003218
20,333.846,0.56722,0.86762,0.93821,0.7671,0.97944,0.88396,0.83281,0.34611,0.58482,0.79832,0.0003119,0.0003119,0.0003119
21,346.548,0.55101,0.83755,0.93259,0.75268,0.97226,0.8856,0.83883,0.31357,0.58095,0.79308,0.000302,0.000302,0.000302
22,358.222,0.55652,0.84161,0.93254,0.76705,0.98258,0.87927,0.83359,0.32444,0.60683,0.79482,0.0002921,0.0002921,0.0002921
23,368.934,0.53962,0.8142,0.92917,0.77371,0.96683,0.88192,0.81734,0.38995,0.58577,0.80473,0.0002822,0.0002822,0.0002822
24,381.159,0.53146,0.80714,0.92578,0.78428,0.96692,0.88765,0.81768,0.45052,0.56459,0.81485,0.0002723,0.0002723,0.0002723
25,392.635,0.52465,0.8069,0.91855,0.78731,0.96926,0.88703,0.85196,0.29533,0.54627,0.78442,0.0002624,0.0002624,0.0002624
26,405.066,0.53597,0.80361,0.92613,0.78984,0.99026,0.88278,0.83204,0.35418,0.54008,0.79491,0.0002525,0.0002525,0.0002525
27,415.998,0.51984,0.78011,0.9199,0.79075,0.97766,0.88295,0.84267,0.30615,0.52869,0.787,0.0002426,0.0002426,0.0002426
28,427.677,0.50734,0.76204,0.91656,0.7885,0.99013,0.87732,0.84539,0.2765,0.52203,0.78267,0.0002327,0.0002327,0.0002327
29,439.823,0.51319,0.75931,0.91745,0.77098,0.98319,0.88409,0.84853,0.29567,0.53867,0.7861,0.0002228,0.0002228,0.0002228
30,451.399,0.52058,0.75379,0.91838,0.77779,0.97935,0.88555,0.81664,0.4279,0.54169,0.81016,0.0002129,0.0002129,0.0002129
31,462.119,0.50134,0.73807,0.92042,0.78974,0.98195,0.89068,0.81409,0.44153,0.52884,0.81512,0.000203,0.000203,0.000203
32,473.622,0.4937,0.73734,0.91295,0.78544,0.98085,0.88781,0.84746,0.30582,0.5108,0.78873,0.0001931,0.0001931,0.0001931
33,485.41,0.47997,0.72636,0.90846,0.8061,0.9778,0.88786,0.8506,0.28751,0.50396,0.78545,0.0001832,0.0001832,0.0001832
34,497.137,0.49765,0.7251,0.91083,0.79458,0.98676,0.89069,0.85026,0.31039,0.5033,0.788,0.0001733,0.0001733,0.0001733
35,508.328,0.49996,0.74009,0.91362,0.79641,0.98618,0.8897,0.85912,0.26404,0.49623,0.78074,0.0001634,0.0001634,0.0001634
36,520.18,0.49013,0.7244,0.90823,0.78989,0.98504,0.88683,0.84918,0.30371,0.5023,0.78604,0.0001535,0.0001535,0.0001535
37,531.065,0.46831,0.70755,0.90398,0.78612,0.99173,0.88476,0.85804,0.25557,0.48951,0.77762,0.0001436,0.0001436,0.0001436
38,542.862,0.48356,0.71087,0.9119,0.7896,0.98924,0.88471,0.85164,0.28691,0.49412,0.78341,0.0001337,0.0001337,0.0001337
39,554.334,0.46706,0.68709,0.90336,0.79474,0.98029,0.88207,0.851,0.27885,0.49251,0.78234,0.0001238,0.0001238,0.0001238
40,566.392,0.4714,0.70157,0.90266,0.78857,0.98361,0.8863,0.85682,0.27646,0.4888,0.78135,0.0001139,0.0001139,0.0001139
41,581.198,0.31935,0.57633,0.81268,0.78216,0.99445,0.88426,0.85937,0.27045,0.50501,0.77879,0.000104,0.000104,0.000104
42,591.606,0.31495,0.55567,0.81019,0.79583,0.98711,0.87681,0.84193,0.28449,0.49289,0.78146,9.41e-05,9.41e-05,9.41e-05
43,601.773,0.31758,0.53156,0.81054,0.79215,0.97985,0.87656,0.8547,0.24861,0.49204,0.77587,8.42e-05,8.42e-05,8.42e-05
44,610.918,0.30181,0.52607,0.81314,0.79649,0.98559,0.87909,0.85634,0.26195,0.47949,0.77782,7.43e-05,7.43e-05,7.43e-05
45,621.35,0.30092,0.51363,0.80446,0.7982,0.98682,0.88124,0.84984,0.30289,0.48459,0.78453,6.44e-05,6.44e-05,6.44e-05
46,631.01,0.29222,0.50858,0.80577,0.80073,0.98059,0.87962,0.85507,0.25879,0.47975,0.77718,5.45e-05,5.45e-05,5.45e-05
47,640.694,0.28894,0.50616,0.80477,0.80084,0.98809,0.88468,0.85977,0.26395,0.47382,0.77836,4.46e-05,4.46e-05,4.46e-05
48,650.51,0.28474,0.50681,0.80903,0.79998,0.98652,0.88406,0.85906,0.26038,0.47231,0.77805,3.47e-05,3.47e-05,3.47e-05
49,659.784,0.27773,0.49419,0.80606,0.79298,0.98498,0.88411,0.86192,0.24968,0.47159,0.77549,2.48e-05,2.48e-05,2.48e-05
50,669.716,0.27642,0.49533,0.80266,0.80427,0.9796,0.87906,0.85509,0.25034,0.46573,0.77642,1.49e-05,1.49e-05,1.49e-05
