epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9607,1.29061,3.07594,1.60916,0.43462,0.50091,0.32988,0.25726,0.91418,8.83554,1.17407,0.0677061,0.000162281,0.000162281
2,41.6641,0.836,1.46979,1.13263,0.58669,0.367,0.387,0.34071,0.55191,3.64761,0.93693,0.034533,0.000322434,0.000322434
3,61.4872,0.73459,1.22525,1.08079,0.5165,0.31677,0.32812,0.222,1.23528,4.5392,1.42115,0.00135318,0.000475988,0.000475988
4,80.5897,0.76665,1.17056,1.09234,0.48251,0.57144,0.50973,0.42936,0.69043,2.85235,0.94559,0.0004703,0.0004703,0.0004703
5,100.007,0.70106,1.0384,1.05674,0.6456,0.83541,0.79675,0.72516,0.44825,0.94224,0.85553,0.0004604,0.0004604,0.0004604
6,120.741,0.68093,0.98519,1.0468,0.72707,0.86235,0.87023,0.789,0.42738,0.8009,0.85826,0.0004505,0.0004505,0.0004505
7,141.47,0.64262,0.92256,1.02528,0.65393,0.85763,0.81776,0.75532,0.4038,0.8001,0.84351,0.0004406,0.0004406,0.0004406
8,160.543,0.63294,0.87551,1.02684,0.69695,0.88602,0.83129,0.77244,0.39378,0.76069,0.83276,0.0004307,0.0004307,0.0004307
9,179.357,0.58706,0.85576,0.99551,0.70169,0.94955,0.8701,0.80861,0.36665,0.62373,0.82482,0.0004208,0.0004208,0.0004208
10,198.823,0.61661,0.85511,1.00784,0.78878,0.94061,0.88684,0.7985,0.48015,0.60644,0.8606,0.0004109,0.0004109,0.0004109
11,217.73,0.56223,0.76964,0.98768,0.70845,0.95681,0.85796,0.79394,0.3746,0.60035,0.82901,0.000401,0.000401,0.000401
12,236.713,0.54662,0.77055,0.98062,0.7395,0.90127,0.86022,0.79407,0.41416,0.66187,0.83902,0.0003911,0.0003911,0.0003911
13,255.771,0.54609,0.75344,0.976,0.77127,0.97259,0.88005,0.78803,0.47008,0.54133,0.86388,0.0003812,0.0003812,0.0003812
14,274.759,0.53412,0.71147,0.97449,0.71611,0.97638,0.87547,0.82469,0.34859,0.55055,0.81897,0.0003713,0.0003713,0.0003713
15,296.478,0.5509,0.72837,0.9792,0.75771,0.95633,0.8757,0.80109,0.44532,0.55152,0.84675,0.0003614,0.0003614,0.0003614
16,315.624,0.54143,0.71492,0.97393,0.7647,0.98928,0.86942,0.82116,0.35783,0.51637,0.82404,0.0003515,0.0003515,0.0003515
17,334.638,0.53382,0.6693,0.96776,0.76338,0.98017,0.87694,0.83498,0.31464,0.50469,0.81037,0.0003416,0.0003416,0.0003416
18,355.781,0.53068,0.65968,0.96925,0.77133,0.9821,0.89173,0.84189,0.33824,0.48288,0.81593,0.0003317,0.0003317,0.0003317
19,376.083,0.51034,0.6675,0.96281,0.75755,0.98634,0.88544,0.8016,0.48853,0.50646,0.85736,0.0003218,0.0003218,0.0003218
20,395.053,0.47254,0.63117,0.94202,0.78882,0.96531,0.87785,0.82126,0.3561,0.48709,0.81381,0.0003119,0.0003119,0.0003119
21,414.037,0.47243,0.63396,0.94345,0.77342,0.98364,0.88395,0.83911,0.3355,0.48756,0.80703,0.000302,0.000302,0.000302
22,433.142,0.4716,0.6403,0.9409,0.76605,0.98687,0.87865,0.83922,0.29499,0.46564,0.80003,0.0002921,0.0002921,0.0002921
23,452.148,0.45561,0.62745,0.93999,0.79264,0.98838,0.88066,0.84032,0.30665,0.45967,0.80244,0.0002822,0.0002822,0.0002822
24,471.301,0.45539,0.61353,0.93595,0.77727,0.99278,0.87362,0.83828,0.30221,0.4597,0.79937,0.0002723,0.0002723,0.0002723
25,490.177,0.44005,0.61844,0.93177,0.79466,0.97734,0.87373,0.82466,0.34817,0.45095,0.81318,0.0002624,0.0002624,0.0002624
26,509.158,0.43235,0.594,0.92332,0.77982,0.96576,0.87529,0.82527,0.34827,0.46377,0.81458,0.0002525,0.0002525,0.0002525
27,528.122,0.42559,0.59768,0.91892,0.78287,0.98372,0.87328,0.78655,0.49466,0.48004,0.86349,0.0002426,0.0002426,0.0002426
28,547.201,0.42466,0.58875,0.92345,0.76236,0.96702,0.86841,0.8321,0.30218,0.47483,0.80009,0.0002327,0.0002327,0.0002327
29,566.297,0.40681,0.57042,0.91285,0.7867,0.96778,0.88316,0.85063,0.31318,0.45774,0.79834,0.0002228,0.0002228,0.0002228
30,585.981,0.41806,0.57628,0.92107,0.76463,0.99233,0.87959,0.82414,0.37868,0.44599,0.81916,0.0002129,0.0002129,0.0002129
31,605.008,0.40642,0.57399,0.90869,0.79136,0.9894,0.88351,0.84462,0.32463,0.43808,0.80593,0.000203,0.000203,0.000203
32,624.152,0.39287,0.5561,0.90928,0.75196,0.98468,0.88134,0.85142,0.29681,0.44512,0.79611,0.0001931,0.0001931,0.0001931
33,643.69,0.3907,0.56894,0.90975,0.77697,0.98858,0.87318,0.84799,0.28241,0.44378,0.79051,0.0001832,0.0001832,0.0001832
34,662.863,0.38841,0.55199,0.90735,0.7949,0.95495,0.87998,0.83843,0.3131,0.4399,0.79919,0.0001733,0.0001733,0.0001733
35,682.463,0.38457,0.52852,0.90242,0.77104,0.98704,0.88062,0.85644,0.26138,0.4342,0.78684,0.0001634,0.0001634,0.0001634
36,704.451,0.38021,0.53756,0.90036,0.78299,0.98361,0.87904,0.85664,0.23765,0.41617,0.78107,0.0001535,0.0001535,0.0001535
37,725.089,0.35721,0.52281,0.89629,0.78026,0.99256,0.88441,0.82764,0.38894,0.44578,0.81835,0.0001436,0.0001436,0.0001436
38,744.107,0.37065,0.52984,0.90144,0.79174,0.99002,0.88236,0.84533,0.31369,0.43166,0.79736,0.0001337,0.0001337,0.0001337
39,763.896,0.35203,0.51876,0.8875,0.79386,0.99301,0.88283,0.85164,0.2933,0.41064,0.79194,0.0001238,0.0001238,0.0001238
40,783.817,0.35751,0.51895,0.89199,0.79036,0.9873,0.88201,0.83932,0.33018,0.43309,0.80014,0.0001139,0.0001139,0.0001139
41,806.306,0.25894,0.41897,0.81471,0.79465,0.97532,0.87411,0.85227,0.25691,0.42492,0.78198,0.000104,0.000104,0.000104
