epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3868,0.83364,3.05887,1.14217,0.18661,0.49348,0.15482,0.13637,0.64957,inf,0.98286,0.0678684,0.000324561,0.000324561
2,36.9312,0.5899,1.56678,0.9674,0.3697,0.37667,0.25853,0.2203,0.68651,5.87879,1.16844,0.0348554,0.000644868,0.000644868
3,53.4265,0.60092,1.27999,0.97785,0.3516,0.58541,0.44076,0.38128,0.57344,7.68638,1.05402,0.00182917,0.000951975,0.000951975
4,69.7486,0.5754,1.26649,0.96877,0.41115,0.71368,0.58041,0.52624,0.44091,2.73894,0.93631,0.0009406,0.0009406,0.0009406
5,85.738,0.54475,1.08634,0.94937,0.55304,0.65448,0.63553,0.5721,0.45658,2.23318,0.91654,0.0009208,0.0009208,0.0009208
6,101.86,0.5403,1.02628,0.96291,0.59815,0.80664,0.75608,0.70129,0.38389,1.03135,0.88193,0.000901,0.000901,0.000901
7,118.924,0.50684,0.96328,0.9456,0.65384,0.74286,0.76431,0.70343,0.38162,1.20637,0.87792,0.0008812,0.0008812,0.0008812
8,135.084,0.48525,0.87797,0.94001,0.70368,0.88403,0.84038,0.79025,0.35457,0.70092,0.86008,0.0008614,0.0008614,0.0008614
9,151.548,0.4869,0.87788,0.93902,0.70322,0.70767,0.73612,0.67776,0.40269,1.31195,0.87196,0.0008416,0.0008416,0.0008416
10,167.104,0.50889,0.83713,0.94667,0.68866,0.90222,0.85718,0.80963,0.33807,0.67153,0.84938,0.0008218,0.0008218,0.0008218
11,184.206,0.47448,0.80647,0.93456,0.7123,0.93354,0.86117,0.82032,0.32804,0.62232,0.84369,0.000802,0.000802,0.000802
12,200.701,0.46514,0.76572,0.92568,0.74181,0.93223,0.89321,0.84147,0.35851,0.58064,0.84746,0.0007822,0.0007822,0.0007822
13,216.683,0.45182,0.7544,0.9259,0.67733,0.89563,0.84521,0.79844,0.3533,0.66638,0.84617,0.0007624,0.0007624,0.0007624
14,232.312,0.45672,0.74767,0.92264,0.75536,0.95081,0.87191,0.82095,0.37057,0.56517,0.85011,0.0007426,0.0007426,0.0007426
15,247.889,0.441,0.72835,0.9169,0.74911,0.91674,0.8559,0.79784,0.39358,0.56067,0.86484,0.0007228,0.0007228,0.0007228
16,263.433,0.43817,0.72087,0.91298,0.7557,0.98097,0.87724,0.82603,0.35316,0.51468,0.84796,0.000703,0.000703,0.000703
17,279.538,0.42656,0.68868,0.91186,0.7562,0.94371,0.86791,0.82342,0.33006,0.51343,0.83745,0.0006832,0.0006832,0.0006832
18,295.239,0.42725,0.68646,0.90942,0.74582,0.97549,0.87358,0.80876,0.39973,0.51517,0.85893,0.0006634,0.0006634,0.0006634
19,311.249,0.42217,0.68012,0.91214,0.74546,0.97146,0.86977,0.83504,0.30637,0.51721,0.83143,0.0006436,0.0006436,0.0006436
20,326.84,0.41982,0.68255,0.91447,0.76188,0.96542,0.87444,0.83866,0.30631,0.50911,0.8304,0.0006238,0.0006238,0.0006238
21,342.422,0.41423,0.66693,0.90885,0.77592,0.9699,0.87616,0.84072,0.29001,0.46881,0.82354,0.000604,0.000604,0.000604
22,357.933,0.40548,0.64418,0.90037,0.77913,0.96956,0.86993,0.82664,0.33938,0.48866,0.83787,0.0005842,0.0005842,0.0005842
23,373.457,0.40073,0.62896,0.89679,0.7652,0.95925,0.87616,0.8346,0.33148,0.48372,0.83445,0.0005644,0.0005644,0.0005644
24,389.25,0.39532,0.61881,0.89854,0.74739,0.98989,0.87457,0.82888,0.34976,0.47826,0.84974,0.0005446,0.0005446,0.0005446
25,405.309,0.39583,0.61609,0.89855,0.76555,0.98214,0.88401,0.84911,0.317,0.46876,0.83326,0.0005248,0.0005248,0.0005248
26,421.28,0.39427,0.61936,0.89371,0.74601,0.97664,0.86727,0.83878,0.28474,0.47989,0.81904,0.000505,0.000505,0.000505
27,436.829,0.40121,0.61235,0.89625,0.78348,0.98028,0.89462,0.84806,0.34564,0.45039,0.84558,0.0004852,0.0004852,0.0004852
28,453.364,0.38394,0.58802,0.89282,0.76298,0.9899,0.87713,0.85577,0.26244,0.45089,0.81247,0.0004654,0.0004654,0.0004654
29,469.492,0.3813,0.5862,0.89218,0.78664,0.98591,0.87701,0.84038,0.30704,0.45404,0.82457,0.0004456,0.0004456,0.0004456
30,485.009,0.38918,0.58503,0.89686,0.77893,0.99011,0.87472,0.82176,0.36629,0.45532,0.84564,0.0004258,0.0004258,0.0004258
31,500.539,0.37218,0.58029,0.88327,0.78011,0.99024,0.8761,0.85331,0.25963,0.43153,0.80936,0.000406,0.000406,0.000406
32,516.551,0.37226,0.57701,0.88603,0.78131,0.98213,0.87364,0.84879,0.26745,0.43349,0.81239,0.0003862,0.0003862,0.0003862
33,531.555,0.36708,0.56337,0.88871,0.77499,0.98985,0.87333,0.83652,0.3198,0.43407,0.82997,0.0003664,0.0003664,0.0003664
34,547.23,0.36129,0.57231,0.88347,0.79355,0.98065,0.87002,0.84913,0.269,0.42745,0.81226,0.0003466,0.0003466,0.0003466
35,562.798,0.37098,0.58006,0.88654,0.7823,0.98671,0.86868,0.84028,0.28814,0.4285,0.81636,0.0003268,0.0003268,0.0003268
36,578.218,0.36187,0.55577,0.88321,0.78887,0.98523,0.87717,0.84678,0.28821,0.42939,0.81764,0.000307,0.000307,0.000307
37,593.792,0.35915,0.55025,0.88503,0.78573,0.99297,0.86303,0.83936,0.28071,0.42576,0.8138,0.0002872,0.0002872,0.0002872
