epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.545,0.93407,3.70678,1.15045,0.25383,0.53383,0.26219,0.23013,0.57923,5.49616,0.8945,0.0678684,0.000324561,0.000324561
2,123.326,0.58457,1.62922,0.94914,0.48703,0.47997,0.43741,0.39083,0.47721,2.00365,0.86909,0.0348554,0.000644868,0.000644868
3,136.393,0.55314,1.29621,0.93928,0.53001,0.70229,0.67347,0.60249,0.47141,1.35773,0.89689,0.00182917,0.000951975,0.000951975
4,150.064,0.55748,1.21117,0.94286,0.55462,0.70146,0.68102,0.61521,0.4369,1.4657,0.85862,0.0009406,0.0009406,0.0009406
5,162.334,0.53406,1.07005,0.92843,0.5983,0.85002,0.77752,0.72654,0.37672,0.97296,0.85067,0.0009208,0.0009208,0.0009208
6,175.546,0.51549,1.0126,0.93338,0.58373,0.82929,0.77377,0.72803,0.36272,1.00859,0.82344,0.000901,0.000901,0.000901
7,188.368,0.49727,0.97246,0.91793,0.61334,0.84682,0.78339,0.71584,0.43337,0.91363,0.85917,0.0008812,0.0008812,0.0008812
8,200.78,0.491,0.90236,0.92007,0.62934,0.76713,0.78577,0.72511,0.40544,1.00906,0.83664,0.0008614,0.0008614,0.0008614
9,213.001,0.4762,0.88411,0.90955,0.66579,0.80329,0.78924,0.72775,0.38755,1.02457,0.84669,0.0008416,0.0008416,0.0008416
10,225.838,0.47355,0.84563,0.90891,0.683,0.93462,0.87289,0.81759,0.37666,0.70364,0.82139,0.0008218,0.0008218,0.0008218
11,238.348,0.46957,0.81823,0.90569,0.69289,0.94833,0.84856,0.7878,0.39516,0.67916,0.83739,0.000802,0.000802,0.000802
12,251.025,0.46733,0.7951,0.90417,0.74585,0.90846,0.86713,0.82436,0.32838,0.65074,0.81832,0.0007822,0.0007822,0.0007822
13,263.681,0.44482,0.7723,0.90353,0.70345,0.95088,0.86102,0.81699,0.3299,0.60686,0.82545,0.0007624,0.0007624,0.0007624
14,276.808,0.44585,0.7617,0.90059,0.70697,0.94564,0.87736,0.80504,0.42808,0.63311,0.86487,0.0007426,0.0007426,0.0007426
15,288.754,0.42915,0.74406,0.89685,0.75116,0.96887,0.87524,0.82377,0.37189,0.55704,0.82665,0.0007228,0.0007228,0.0007228
16,301.737,0.44076,0.72627,0.895,0.71258,0.96522,0.87711,0.83997,0.30616,0.55788,0.80501,0.000703,0.000703,0.000703
17,314.27,0.43791,0.70799,0.89715,0.74593,0.96253,0.8721,0.8251,0.34417,0.53866,0.81685,0.0006832,0.0006832,0.0006832
18,326.334,0.4322,0.69249,0.89008,0.77812,0.96161,0.8858,0.82333,0.4095,0.54964,0.84643,0.0006634,0.0006634,0.0006634
19,338.884,0.42851,0.67873,0.89563,0.75488,0.97212,0.88088,0.81668,0.39263,0.54541,0.83026,0.0006436,0.0006436,0.0006436
20,351.1,0.42598,0.68965,0.89699,0.76218,0.98335,0.87717,0.84595,0.29929,0.53355,0.80464,0.0006238,0.0006238,0.0006238
21,364.057,0.41536,0.67006,0.88714,0.78013,0.96279,0.89273,0.8478,0.3325,0.50315,0.81617,0.000604,0.000604,0.000604
22,377.068,0.40662,0.6525,0.88056,0.75383,0.97637,0.88405,0.84433,0.31482,0.54025,0.81054,0.0005842,0.0005842,0.0005842
23,388.782,0.39671,0.63949,0.87905,0.74502,0.9643,0.87764,0.8321,0.35571,0.53657,0.8216,0.0005644,0.0005644,0.0005644
24,401.786,0.39171,0.6335,0.88048,0.78026,0.96961,0.87334,0.84074,0.3053,0.50209,0.80494,0.0005446,0.0005446,0.0005446
25,414.176,0.39335,0.63605,0.88218,0.76293,0.96652,0.88048,0.82357,0.38078,0.52121,0.83574,0.0005248,0.0005248,0.0005248
26,427.605,0.3878,0.64078,0.87716,0.77403,0.97287,0.89375,0.85899,0.30815,0.49862,0.80369,0.000505,0.000505,0.000505
27,439.672,0.386,0.61939,0.87442,0.78188,0.97391,0.89052,0.84937,0.3264,0.4794,0.80981,0.0004852,0.0004852,0.0004852
28,452.578,0.3781,0.6145,0.87468,0.77157,0.98934,0.88668,0.85675,0.28734,0.47003,0.79605,0.0004654,0.0004654,0.0004654
29,464.783,0.37602,0.60946,0.87841,0.77667,0.9872,0.88491,0.86583,0.25031,0.46847,0.78738,0.0004456,0.0004456,0.0004456
30,477.555,0.37531,0.60359,0.87757,0.78122,0.98557,0.89064,0.86057,0.2949,0.4715,0.79541,0.0004258,0.0004258,0.0004258
31,489.248,0.35505,0.58687,0.86462,0.79389,0.99107,0.89152,0.85959,0.3074,0.46417,0.79941,0.000406,0.000406,0.000406
32,502.335,0.36034,0.58797,0.86479,0.78297,0.98156,0.89244,0.87254,0.26115,0.45834,0.78986,0.0003862,0.0003862,0.0003862
33,514.702,0.36001,0.58056,0.87125,0.77191,0.98963,0.89329,0.85922,0.30262,0.45919,0.80157,0.0003664,0.0003664,0.0003664
34,527.743,0.35104,0.58795,0.86388,0.79034,0.9738,0.89649,0.86337,0.30249,0.46877,0.80381,0.0003466,0.0003466,0.0003466
35,539.815,0.34737,0.58301,0.86364,0.79696,0.98146,0.87707,0.85102,0.28231,0.4526,0.7935,0.0003268,0.0003268,0.0003268
36,552.07,0.34445,0.56709,0.8628,0.78633,0.98187,0.88617,0.86708,0.25623,0.46138,0.78648,0.000307,0.000307,0.000307
37,564.14,0.33903,0.56019,0.86069,0.78702,0.9796,0.87935,0.85752,0.26545,0.45096,0.78851,0.0002872,0.0002872,0.0002872
38,576.676,0.34237,0.55683,0.86219,0.79119,0.9892,0.88864,0.86841,0.26849,0.43488,0.78987,0.0002674,0.0002674,0.0002674
39,589.294,0.34019,0.54421,0.86232,0.79075,0.98361,0.8857,0.85928,0.28681,0.44311,0.79313,0.0002476,0.0002476,0.0002476
