annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,27925,595,674,263,477,0.8915
2,1,1899,157,249,203,127,0.8343
3,1,16550,556,70,398,406,0.8339
4,1,24849,171,742,183,291,0.7668
5,10,16547,102,803,243,242,0.9136
6,10,1899,643,844,189,189,0.8297
7,10,21770,639,288,193,185,0.8259
8,10,29450,99,234,410,222,0.7311
9,100,16547,585,130,233,227,0.9104
10,100,1899,135,243,192,164,0.8421
11,100,33008,516,787,382,212,0.8039
12,100,18109,42,742,311,302,0.7545
13,1003,16231,646,183,194,181,0.877
14,1003,27732,121,767,318,276,0.8637
15,1003,3482,605,788,274,209,0.8313
16,1003,34596,38,158,446,417,0.8281
17,1004,16231,140,888,198,193,0.8574
18,1004,27732,562,259,305,268,0.852
19,1004,3482,123,304,271,203,0.8416
20,1004,34596,506,655,465,442,0.8281
21,1005,16231,619,174,189,184,0.8706
22,1005,27732,85,722,324,285,0.8686
23,1005,3482,576,757,276,210,0.827
24,1005,34596,21,120,445,432,0.824
25,1006,25366,46,173,447,429,0.8945
26,1006,20237,616,194,229,220,0.837
27,1006,3482,600,843,280,190,0.8278
28,1006,25468,46,851,378,224,0.8112
29,1007,25366,32,157,435,422,0.8916
30,1007,3482,574,812,281,191,0.8358
31,1007,20237,587,190,223,215,0.8321
32,1007,25468,9,808,384,222,0.8191
33,1009,22346,76,196,205,196,0.8414
34,1009,3482,574,812,281,191,0.8295
35,1009,25468,10,809,383,221,0.8154
36,1009,16261,547,186,238,230,0.7785
37,1010,22346,93,204,207,200,0.856
38,1010,3482,600,843,279,190,0.82
39,1010,25468,46,852,377,223,0.8073
40,1010,16261,572,192,245,233,0.7261
41,1012,16547,609,156,232,226,0.915
42,1012,27925,569,630,257,484,0.8881
43,1012,24849,141,701,182,293,0.827
44,1012,1899,141,240,200,130,0.8166
45,1013,16547,105,865,243,240,0.9043
46,1013,27925,148,145,255,456,0.8968
47,1013,24849,637,272,181,280,0.8694
48,1013,1899,628,891,212,134,0.8259
49,1014,16547,638,163,240,228,0.9112
50,1014,27925,595,674,263,478,0.8924
51,1014,1899,157,250,203,127,0.8412
52,1014,24849,171,743,183,291,0.7784
53,1015,35205,659,174,224,406,0.9099
54,1015,20876,117,767,333,232,0.9036
55,1015,30307,62,123,404,411,0.8745
56,1015,3482,651,749,209,269,0.8459
57,1016,35205,97,670,235,414,0.9111
58,1016,20876,541,291,329,238,0.8882
59,1016,30307,532,716,406,419,0.8875
60,1016,3482,142,291,211,258,0.8433
61,1018,30307,437,738,473,306,0.8715
62,1018,27732,560,254,301,266,0.8678
63,1018,3482,123,304,271,202,0.8404
64,1018,29666,87,860,229,228,0.7653
65,1019,27732,124,773,318,276,0.873
66,1019,3482,606,789,274,208,0.8332
67,1019,30307,93,213,464,301,0.828
68,1019,29666,666,181,227,213,0.7846
69,102,16547,613,134,239,230,0.9164
70,102,1899,151,253,196,163,0.8664
71,102,33008,545,832,377,204,0.7957
72,102,18109,77,789,306,293,0.7141
73,1020,27732,92,728,321,281,0.8748
74,1020,30307,71,186,456,302,0.8395
75,1020,3482,577,756,276,211,0.827
76,1020,29666,638,177,219,214,0.7917
77,1022,33207,580,809,217,205,0.8921
78,1022,16550,623,22,286,469,0.8498
79,1022,1899,149,239,182,182,0.7908
80,1022,29450,38,798,419,229,0.7753
81,1023,33207,607,843,214,199,0.8782
82,1023,16550,651,27,300,482,0.8342
83,1023,1899,165,246,186,184,0.8089
84,1023,29450,68,841,418,218,0.7695
85,1025,20876,542,288,330,241,0.8857
86,1025,3482,143,290,212,258,0.8472
87,1025,28762,643,861,223,214,0.8423
