epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5469,0.82978,3.09745,1.20006,0.22519,0.51206,0.20466,0.17644,0.62707,inf,1.10797,0.0678684,0.000324561,0.000324561
2,45.4013,0.60125,1.65092,1.02065,0.3865,0.47826,0.31421,0.27589,0.59672,6.59095,1.06351,0.0348554,0.000644868,0.000644868
3,67.7183,0.57145,1.31211,0.99421,0.4353,0.55404,0.42117,0.38041,0.51395,2.90327,1.04565,0.00182917,0.000951975,0.000951975
4,88.6386,0.56876,1.23573,0.98774,0.4999,0.56142,0.49215,0.44463,0.47299,2.91729,0.97587,0.0009406,0.0009406,0.0009406
5,109.16,0.54094,1.12395,0.97416,0.62835,0.61609,0.65646,0.60952,0.41651,1.62533,0.92608,0.0009208,0.0009208,0.0009208
6,129.733,0.52596,0.9926,0.96992,0.63992,0.7853,0.77225,0.71052,0.38858,0.903,0.88695,0.000901,0.000901,0.000901
7,152.026,0.51465,0.95976,0.96166,0.62684,0.72817,0.74356,0.68699,0.35893,1.07224,0.87476,0.0008812,0.0008812,0.0008812
8,171.832,0.50672,0.90141,0.95379,0.68053,0.73025,0.7931,0.73918,0.36756,0.87631,0.87462,0.0008614,0.0008614,0.0008614
9,194.438,0.50366,0.88093,0.95636,0.76607,0.88831,0.86437,0.82211,0.32396,0.69501,0.85033,0.0008416,0.0008416,0.0008416
10,216.216,0.4796,0.83321,0.94217,0.60724,0.77648,0.79463,0.73566,0.38243,0.98493,0.87545,0.0008218,0.0008218,0.0008218
11,236.084,0.45531,0.79473,0.92631,0.64445,0.89696,0.83981,0.80021,0.31721,0.68807,0.84383,0.000802,0.000802,0.000802
12,256.09,0.4597,0.79722,0.93391,0.7342,0.9329,0.86899,0.81702,0.36323,0.62339,0.87743,0.0007822,0.0007822,0.0007822
13,275.907,0.47114,0.78165,0.94462,0.7092,0.95962,0.85835,0.81744,0.33232,0.57936,0.85591,0.0007624,0.0007624,0.0007624
14,296.717,0.45777,0.74106,0.93779,0.79338,0.94138,0.87706,0.83584,0.34677,0.53873,0.85263,0.0007426,0.0007426,0.0007426
15,316.992,0.4521,0.72929,0.93038,0.7281,0.9655,0.88498,0.82507,0.39371,0.56636,0.87269,0.0007228,0.0007228,0.0007228
16,337.056,0.43572,0.71138,0.92207,0.76847,0.97761,0.87451,0.84151,0.30691,0.5105,0.83453,0.000703,0.000703,0.000703
17,357.437,0.43373,0.69799,0.92298,0.70948,0.96844,0.86204,0.83039,0.29573,0.57308,0.83597,0.0006832,0.0006832,0.0006832
18,377.441,0.42696,0.66072,0.91427,0.76727,0.94158,0.87394,0.84543,0.27502,0.53405,0.82892,0.0006634,0.0006634,0.0006634
19,397.92,0.43686,0.67956,0.92092,0.73476,0.97718,0.88349,0.82842,0.37344,0.53418,0.86294,0.0006436,0.0006436,0.0006436
20,418.697,0.41289,0.65478,0.91062,0.761,0.94892,0.88411,0.8605,0.28013,0.48016,0.82877,0.0006238,0.0006238,0.0006238
21,439.123,0.40097,0.63595,0.90384,0.76586,0.97844,0.87701,0.83186,0.34861,0.49714,0.85636,0.000604,0.000604,0.000604
22,460.025,0.40013,0.63829,0.90291,0.7503,0.97013,0.88119,0.85029,0.29831,0.49614,0.83033,0.0005842,0.0005842,0.0005842
23,480.032,0.39889,0.61382,0.90585,0.75405,0.96743,0.87518,0.84235,0.31631,0.48852,0.83794,0.0005644,0.0005644,0.0005644
24,501.074,0.39635,0.62501,0.90545,0.78049,0.97309,0.88763,0.86082,0.28092,0.46946,0.82918,0.0005446,0.0005446,0.0005446
25,524.125,0.39204,0.60825,0.90143,0.77591,0.98813,0.87153,0.84466,0.28167,0.475,0.82589,0.0005248,0.0005248,0.0005248
26,544.16,0.39901,0.61755,0.90966,0.7719,0.96399,0.88207,0.83759,0.32769,0.48483,0.84483,0.000505,0.000505,0.000505
27,563.961,0.39143,0.61631,0.90188,0.76738,0.96187,0.8798,0.83,0.34828,0.48506,0.85444,0.0004852,0.0004852,0.0004852
28,584.417,0.38919,0.60348,0.90431,0.76467,0.95847,0.8724,0.83663,0.31594,0.57154,0.85855,0.0004654,0.0004654,0.0004654
29,605.198,0.39658,0.60792,0.89855,0.74693,0.98359,0.88748,0.84359,0.33209,0.48021,0.84586,0.0004456,0.0004456,0.0004456
30,625.153,0.38815,0.58208,0.89601,0.78351,0.98475,0.88414,0.86184,0.26177,0.44362,0.8206,0.0004258,0.0004258,0.0004258
31,647.094,0.38303,0.58174,0.8898,0.77373,0.98636,0.88216,0.85135,0.29399,0.44627,0.82747,0.000406,0.000406,0.000406
32,666.827,0.3768,0.57228,0.88949,0.7851,0.97577,0.8728,0.84399,0.29646,0.45364,0.82703,0.0003862,0.0003862,0.0003862
33,686.712,0.36609,0.56202,0.89137,0.79204,0.98838,0.87966,0.84961,0.29397,0.42371,0.82477,0.0003664,0.0003664,0.0003664
34,706.544,0.3608,0.55248,0.88651,0.77254,0.98963,0.87116,0.81644,0.37716,0.45442,0.85756,0.0003466,0.0003466,0.0003466
35,726.498,0.37498,0.56107,0.90177,0.79133,0.99085,0.88974,0.85496,0.3044,0.43289,0.83056,0.0003268,0.0003268,0.0003268
36,746.289,0.35411,0.53264,0.87968,0.78065,0.99134,0.88738,0.85664,0.30117,0.42586,0.83537,0.000307,0.000307,0.000307
37,766.281,0.36091,0.5492,0.89509,0.78633,0.98589,0.88098,0.83887,0.33184,0.44673,0.83773,0.0002872,0.0002872,0.0002872
38,786.091,0.35898,0.54805,0.88679,0.7859,0.98643,0.87148,0.83636,0.32194,0.44523,0.83762,0.0002674,0.0002674,0.0002674
39,806.821,0.3469,0.52715,0.88441,0.77203,0.99196,0.87887,0.85935,0.26359,0.43693,0.81646,0.0002476,0.0002476,0.0002476
40,826.864,0.34738,0.54595,0.87818,0.78693,0.98826,0.88543,0.8679,0.24845,0.41297,0.81104,0.0002278,0.0002278,0.0002278
41,852.841,0.27875,0.45795,0.84507,0.79461,0.98602,0.87818,0.84634,0.31243,0.44119,0.83488,0.000208,0.000208,0.000208
42,873.044,0.27774,0.46018,0.85158,0.78807,0.98743,0.89293,0.86727,0.2716,0.42745,0.82054,0.0001882,0.0001882,0.0001882
43,894.352,0.2738,0.45472,0.85072,0.79166,0.97654,0.89182,0.87516,0.2358,0.42552,0.8064,0.0001684,0.0001684,0.0001684
44,915.985,0.26564,0.44481,0.8522,0.79012,0.98968,0.88788,0.86736,0.2568,0.41573,0.81305,0.0001486,0.0001486,0.0001486
45,935.54,0.26178,0.4439,0.84716,0.79594,0.9885,0.88358,0.86355,0.25576,0.42077,0.81265,0.0001288,0.0001288,0.0001288
46,955.064,0.25096,0.44435,0.84218,0.78966,0.98657,0.88153,0.86481,0.23149,0.41452,0.80457,0.000109,0.000109,0.000109
47,974.749,0.24523,0.42802,0.83735,0.7955,0.98856,0.88371,0.86737,0.24759,0.41424,0.8087,8.92e-05,8.92e-05,8.92e-05
48,994.587,0.2417,0.42957,0.83827,0.79792,0.99136,0.88117,0.86874,0.21664,0.4061,0.79882,6.94e-05,6.94e-05,6.94e-05
49,1013.98,0.23654,0.41944,0.84455,0.79685,0.99025,0.87372,0.85797,0.23365,0.40382,0.8024,4.96e-05,4.96e-05,4.96e-05
50,1033.79,0.23073,0.41402,0.83222,0.80175,0.99073,0.88365,0.87049,0.22565,0.39773,0.80057,2.98e-05,2.98e-05,2.98e-05
