               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074978,             0.04814,             0.10316,            0.068306,             0.27574,            0.032724,            0.012897,            0.042704,            0.023458,            0.092912,              0.0704,           0.0032889,           0.0032889
                   1,             0.05044,            0.035121,            0.093683,             0.46155,            0.081165,            0.050551,            0.028213,            0.034967,             0.02009,            0.085561,            0.040269,           0.0064911,           0.0064911
                   2,            0.048751,            0.029865,            0.087395,             0.77962,            0.059212,            0.062721,            0.034293,            0.037119,            0.017953,            0.079532,            0.010006,           0.0095613,           0.0095613
                   3,            0.041378,            0.028926,            0.081418,             0.86536,            0.083263,            0.092893,            0.061232,             0.02878,            0.016767,            0.072289,            0.009406,            0.009406,            0.009406
                   4,             0.03587,            0.026814,            0.078606,             0.70536,             0.12611,             0.13464,            0.091023,            0.023592,            0.015822,            0.068813,            0.009406,            0.009406,            0.009406
                   5,            0.030902,             0.02564,            0.074807,             0.78657,             0.10406,             0.15439,             0.10963,            0.023533,            0.016192,            0.067889,            0.009208,            0.009208,            0.009208
                   6,            0.028618,             0.02561,            0.071635,             0.71507,             0.12364,             0.17225,             0.11569,            0.025025,            0.015427,            0.065858,             0.00901,             0.00901,             0.00901
                   7,            0.026967,            0.026451,            0.068086,              0.7235,             0.19186,             0.20803,             0.16991,            0.015812,            0.015662,            0.058994,            0.008812,            0.008812,            0.008812
                   8,            0.026604,            0.025138,            0.065485,             0.73723,             0.18788,             0.22613,             0.17592,            0.020581,            0.015275,            0.056236,            0.008614,            0.008614,            0.008614
                   9,             0.02525,            0.024134,            0.061092,             0.81404,             0.22318,             0.25926,             0.18155,            0.019866,            0.015784,            0.052374,            0.008416,            0.008416,            0.008416
                  10,            0.024276,            0.025121,            0.058536,             0.77945,             0.26501,             0.29704,             0.22731,            0.019289,            0.015435,             0.04972,            0.008218,            0.008218,            0.008218
                  11,            0.023853,            0.025207,            0.055463,             0.85236,             0.23034,              0.3313,             0.27529,            0.014579,            0.014792,            0.047576,             0.00802,             0.00802,             0.00802
                  12,            0.023144,            0.024566,            0.052509,              0.8743,             0.24858,             0.36332,             0.28881,            0.014523,            0.014882,            0.044955,            0.007822,            0.007822,            0.007822
                  13,            0.022755,            0.023831,            0.049074,             0.85512,             0.29749,             0.41651,             0.33124,            0.016735,             0.01545,            0.041013,            0.007624,            0.007624,            0.007624
                  14,            0.022111,            0.023602,            0.046374,             0.82964,             0.33243,             0.44118,             0.34261,            0.015304,             0.01534,            0.038303,            0.007426,            0.007426,            0.007426
                  15,            0.022536,            0.024487,            0.043406,             0.86486,             0.34724,             0.41967,             0.35624,            0.012957,            0.014665,            0.036176,            0.007228,            0.007228,            0.007228
                  16,            0.021811,            0.023424,            0.041579,             0.87841,             0.31606,             0.46331,             0.36396,             0.01615,            0.015544,            0.036891,             0.00703,             0.00703,             0.00703
                  17,            0.021331,            0.023393,            0.038523,             0.83525,             0.39304,             0.47844,             0.39895,            0.014227,            0.014681,            0.031921,            0.006832,            0.006832,            0.006832
                  18,            0.020668,            0.023782,            0.036843,             0.86694,             0.40037,             0.47232,             0.39934,            0.014269,            0.014813,            0.030618,            0.006634,            0.006634,            0.006634
                  19,            0.020542,            0.023143,             0.03515,             0.70935,             0.48114,             0.51555,             0.44027,            0.012573,            0.014338,            0.028368,            0.006436,            0.006436,            0.006436
                  20,             0.02007,            0.023693,            0.033411,             0.73373,             0.50382,             0.52648,             0.44788,            0.012834,            0.014467,            0.027895,            0.006238,            0.006238,            0.006238
                  21,            0.019381,            0.023151,             0.03162,             0.73579,             0.50581,             0.54699,             0.46929,             0.01276,            0.014486,            0.026011,             0.00604,             0.00604,             0.00604
                  22,            0.019282,            0.023191,            0.030565,             0.70946,             0.55859,             0.58336,             0.50509,            0.013227,            0.014415,            0.024826,            0.005842,            0.005842,            0.005842
                  23,            0.018509,            0.022421,            0.029201,             0.72197,              0.5559,             0.58143,             0.49757,            0.011984,            0.014185,            0.023814,            0.005644,            0.005644,            0.005644
                  24,            0.018609,            0.023428,            0.027625,             0.77905,             0.53911,             0.59503,             0.52579,            0.011211,            0.014068,            0.022554,            0.005446,            0.005446,            0.005446
                  25,            0.017787,            0.022761,            0.026522,             0.69762,             0.61487,             0.63078,             0.54982,            0.011767,            0.013854,            0.021827,            0.005248,            0.005248,            0.005248
