epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3619,0.95295,4.33311,1.17676,0.58352,0.2644,0.21795,0.20057,0.41568,2.57646,0.8547,4.27556e-05,4.27556e-05,4.27556e-05
2,36.2727,0.49914,2.08828,0.93561,0.65049,0.66754,0.6266,0.59259,0.33924,1.14231,0.81742,8.43843e-05,8.43843e-05,8.43843e-05
3,53.5876,0.42233,1.4406,0.89167,0.72505,0.87686,0.80223,0.77073,0.30072,0.80018,0.79407,0.000124297,0.000124297,0.000124297
4,70.706,0.40233,1.14521,0.87606,0.73873,0.88339,0.82332,0.79574,0.278,0.71068,0.79019,0.000122278,0.000122278,0.000122278
5,87.6072,0.38216,1.02287,0.86847,0.77387,0.92996,0.86751,0.84481,0.26332,0.62424,0.78168,0.000119704,0.000119704,0.000119704
6,104.327,0.36204,0.90568,0.86687,0.74812,0.94448,0.87734,0.8519,0.26647,0.58946,0.78228,0.00011713,0.00011713,0.00011713
7,121.16,0.35553,0.84806,0.85887,0.75872,0.95159,0.89027,0.86805,0.24461,0.57282,0.77652,0.000114556,0.000114556,0.000114556
8,138.018,0.34442,0.78691,0.85804,0.76275,0.96505,0.88482,0.86702,0.24136,0.5417,0.77417,0.000111982,0.000111982,0.000111982
9,154.828,0.35082,0.77784,0.8569,0.77425,0.97399,0.8958,0.87515,0.24201,0.53037,0.77459,0.000109408,0.000109408,0.000109408
10,171.606,0.33287,0.74161,0.85236,0.77548,0.98643,0.89464,0.87863,0.22767,0.50845,0.77326,0.000106834,0.000106834,0.000106834
11,188.348,0.32203,0.71812,0.85112,0.78586,0.96681,0.8875,0.87267,0.22843,0.49375,0.77251,0.00010426,0.00010426,0.00010426
12,205.092,0.31405,0.68407,0.84569,0.79463,0.97879,0.89705,0.8807,0.22803,0.49027,0.77242,0.000101686,0.000101686,0.000101686
13,221.911,0.30771,0.66677,0.84384,0.7823,0.96405,0.89379,0.8788,0.23046,0.49573,0.77256,9.9112e-05,9.9112e-05,9.9112e-05
14,238.633,0.30563,0.65361,0.84062,0.77724,0.97613,0.88348,0.8679,0.22423,0.48916,0.77207,9.6538e-05,9.6538e-05,9.6538e-05
15,255.399,0.30068,0.6386,0.84254,0.77432,0.99343,0.90076,0.88694,0.21675,0.47771,0.76907,9.3964e-05,9.3964e-05,9.3964e-05
16,272.116,0.30756,0.63337,0.84156,0.75663,0.98117,0.87979,0.86413,0.21774,0.49271,0.76955,9.139e-05,9.139e-05,9.139e-05
17,288.809,0.29087,0.61191,0.841,0.77639,0.98576,0.87113,0.85992,0.2128,0.47209,0.76855,8.8816e-05,8.8816e-05,8.8816e-05
18,305.537,0.29251,0.59612,0.83815,0.79559,0.97802,0.88034,0.86614,0.21648,0.46019,0.76853,8.6242e-05,8.6242e-05,8.6242e-05
19,322.302,0.29702,0.60784,0.84722,0.77327,0.9814,0.88029,0.86983,0.20883,0.46595,0.76772,8.3668e-05,8.3668e-05,8.3668e-05
20,339.022,0.28638,0.59429,0.83666,0.7899,0.97465,0.89301,0.87456,0.23919,0.4636,0.77415,8.1094e-05,8.1094e-05,8.1094e-05
21,355.886,0.28027,0.58438,0.83763,0.78301,0.97126,0.88399,0.87096,0.2097,0.45574,0.76923,7.852e-05,7.852e-05,7.852e-05
22,374.051,0.28385,0.56971,0.839,0.79731,0.96351,0.87687,0.86247,0.21695,0.46359,0.77028,7.5946e-05,7.5946e-05,7.5946e-05
23,393.029,0.27583,0.5541,0.83327,0.79292,0.98525,0.87307,0.85739,0.21704,0.45269,0.77117,7.3372e-05,7.3372e-05,7.3372e-05
24,411.577,0.27475,0.56124,0.83602,0.79699,0.98139,0.88656,0.87716,0.20121,0.45361,0.7675,7.0798e-05,7.0798e-05,7.0798e-05
25,430.377,0.27294,0.55167,0.83373,0.77813,0.98091,0.88789,0.87819,0.19475,0.45457,0.76623,6.8224e-05,6.8224e-05,6.8224e-05
26,449.377,0.27309,0.53345,0.83942,0.79743,0.98693,0.88883,0.87898,0.19799,0.44672,0.76655,6.565e-05,6.565e-05,6.565e-05
27,468.156,0.26961,0.55415,0.83597,0.79192,0.97829,0.8866,0.87462,0.19979,0.45369,0.7657,6.3076e-05,6.3076e-05,6.3076e-05
28,487.268,0.26424,0.53399,0.83772,0.79304,0.97094,0.88428,0.87461,0.19695,0.45298,0.76564,6.0502e-05,6.0502e-05,6.0502e-05
