epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1292,1.44221,4.73753,1.3936,0,0,0,0,0.71656,4.44855,0.87416,4.2193e-05,4.2193e-05,4.2193e-05
2,38.4104,0.77319,3.99611,1.03697,0.04739,0.32956,0.11029,0.0856,0.87215,3.75419,0.93987,8.38329e-05,8.38329e-05,8.38329e-05
3,56.6569,0.72853,3.2364,1.03106,0.77348,0.1889,0.27094,0.2169,0.80425,2.45,0.95532,0.000123757,0.000123757,0.000123757
4,74.875,0.6902,2.50783,1.01008,0.74437,0.41359,0.43495,0.36258,0.69757,1.63754,0.92091,0.000122278,0.000122278,0.000122278
5,92.9858,0.63593,2.03749,0.98476,0.59922,0.66315,0.6112,0.55475,0.45914,1.20707,0.84592,0.000119704,0.000119704,0.000119704
6,111.11,0.63759,1.74371,0.98021,0.6229,0.71875,0.70554,0.6338,0.50146,1.04333,0.85258,0.00011713,0.00011713,0.00011713
7,129.463,0.59481,1.58501,0.96196,0.64676,0.81256,0.76927,0.69395,0.48935,0.90267,0.85144,0.000114556,0.000114556,0.000114556
8,147.898,0.55833,1.43237,0.94769,0.64863,0.86024,0.80112,0.7269,0.44791,0.83108,0.84569,0.000111982,0.000111982,0.000111982
9,167.229,0.55839,1.36537,0.94396,0.7041,0.90136,0.83043,0.78172,0.36397,0.75553,0.81905,0.000109408,0.000109408,0.000109408
10,186.274,0.53449,1.28696,0.93252,0.75696,0.88006,0.84051,0.7471,0.51344,0.74462,0.84787,0.000106834,0.000106834,0.000106834
11,204.573,0.53299,1.22444,0.93145,0.76079,0.90238,0.84507,0.77941,0.3951,0.71332,0.82309,0.00010426,0.00010426,0.00010426
12,222.574,0.51845,1.18495,0.92105,0.74113,0.93573,0.85807,0.79899,0.38898,0.6983,0.81776,0.000101686,0.000101686,0.000101686
13,240.627,0.51639,1.15198,0.92017,0.75186,0.9312,0.86124,0.81351,0.34008,0.66942,0.80945,9.9112e-05,9.9112e-05,9.9112e-05
14,258.96,0.49408,1.13105,0.91585,0.76808,0.94428,0.86615,0.79554,0.42513,0.67256,0.82256,9.6538e-05,9.6538e-05,9.6538e-05
15,278.417,0.49713,1.11495,0.91757,0.77504,0.92352,0.87003,0.82661,0.33064,0.6522,0.80507,9.3964e-05,9.3964e-05,9.3964e-05
16,298.276,0.49225,1.07684,0.9152,0.75245,0.96218,0.87364,0.83524,0.31046,0.62857,0.80089,9.139e-05,9.139e-05,9.139e-05
17,317.984,0.4935,1.05178,0.91495,0.76096,0.9777,0.87539,0.83555,0.32238,0.62146,0.80069,8.8816e-05,8.8816e-05,8.8816e-05
18,337.589,0.49632,1.03141,0.91195,0.79501,0.96196,0.88044,0.82561,0.37086,0.61257,0.81453,8.6242e-05,8.6242e-05,8.6242e-05
19,357.234,0.48492,1.0301,0.91119,0.7673,0.96977,0.87744,0.84639,0.29578,0.59406,0.79663,8.3668e-05,8.3668e-05,8.3668e-05
20,377.565,0.48381,1.0158,0.90902,0.78474,0.97352,0.87728,0.84798,0.29859,0.59193,0.79757,8.1094e-05,8.1094e-05,8.1094e-05
21,397.37,0.46315,0.97275,0.90429,0.78027,0.96695,0.88442,0.85046,0.29001,0.57821,0.79545,7.852e-05,7.852e-05,7.852e-05
22,417.091,0.47509,0.98234,0.90462,0.78957,0.97111,0.88058,0.81478,0.40869,0.60441,0.81752,7.5946e-05,7.5946e-05,7.5946e-05
23,436.846,0.47016,0.95202,0.90286,0.77965,0.98992,0.87953,0.85519,0.26379,0.60938,0.79157,7.3372e-05,7.3372e-05,7.3372e-05
24,456.65,0.46095,0.94595,0.9017,0.78137,0.96947,0.87974,0.84647,0.29072,0.58491,0.79438,7.0798e-05,7.0798e-05,7.0798e-05
25,476.482,0.45014,0.92604,0.89713,0.76638,0.98035,0.88594,0.85908,0.27498,0.57958,0.79257,6.8224e-05,6.8224e-05,6.8224e-05
26,496.262,0.46715,0.93234,0.90503,0.77442,0.98466,0.87921,0.84479,0.29364,0.5762,0.79503,6.565e-05,6.565e-05,6.565e-05
27,515.979,0.45543,0.92961,0.89615,0.77372,0.99139,0.87408,0.85267,0.24831,0.55673,0.78672,6.3076e-05,6.3076e-05,6.3076e-05
28,535.772,0.46148,0.91919,0.90144,0.78331,0.98643,0.88468,0.85429,0.28467,0.56086,0.79332,6.0502e-05,6.0502e-05,6.0502e-05
29,555.753,0.44408,0.9177,0.89434,0.7715,0.9939,0.88084,0.85493,0.25687,0.57068,0.78838,5.7928e-05,5.7928e-05,5.7928e-05
30,575.585,0.44366,0.88199,0.89439,0.79014,0.98305,0.8715,0.8308,0.33517,0.56089,0.80007,5.5354e-05,5.5354e-05,5.5354e-05
31,599.605,0.4251,0.88964,0.88691,0.78586,0.99146,0.87774,0.85583,0.25118,0.56215,0.78797,5.278e-05,5.278e-05,5.278e-05
32,619.842,0.44608,0.90761,0.89735,0.78178,0.98903,0.8766,0.84858,0.2686,0.56219,0.78928,5.0206e-05,5.0206e-05,5.0206e-05
