epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8014,1.48833,4.71339,1.47741,0.01575,0.25227,0.05312,0.03261,1.03457,4.05873,1.11424,4.30425e-05,4.30425e-05,4.30425e-05
2,37.8526,0.95763,3.84079,1.15925,0.72892,0.16757,0.17093,0.09879,1.4264,2.64588,1.34981,8.58576e-05,8.58576e-05,8.58576e-05
3,57.9766,0.93962,3.11022,1.15917,0.70646,0.31711,0.32854,0.22526,1.16316,1.95041,1.13711,0.000128153,0.000128153,0.000128153
4,76.101,0.92505,2.60877,1.15181,0.68322,0.47133,0.47508,0.34391,1.0755,1.54316,1.079,0.00012766,0.00012766,0.00012766
5,94.0671,0.86044,2.21988,1.11165,0.79533,0.51,0.62951,0.47868,0.95981,1.26841,1.02138,0.00012688,0.00012688,0.00012688
6,112.128,0.80862,1.95458,1.08695,0.65874,0.72114,0.72679,0.56695,0.88317,1.06865,0.99624,0.0001261,0.0001261,0.0001261
7,130.368,0.80056,1.78274,1.08253,0.65908,0.80978,0.75189,0.60699,0.79797,0.98211,0.95683,0.00012532,0.00012532,0.00012532
8,148.639,0.77633,1.63704,1.06936,0.69537,0.83027,0.7821,0.63998,0.76731,0.91334,0.94271,0.00012454,0.00012454,0.00012454
9,167.224,0.74553,1.55761,1.05596,0.69679,0.83704,0.79409,0.67609,0.66294,0.86727,0.90964,0.00012376,0.00012376,0.00012376
10,186.14,0.72863,1.49328,1.04055,0.71315,0.88852,0.82055,0.72387,0.58349,0.80029,0.8759,0.00012298,0.00012298,0.00012298
11,205.311,0.70503,1.44448,1.0301,0.72971,0.89783,0.84354,0.75283,0.53609,0.76278,0.8618,0.0001222,0.0001222,0.0001222
12,224.753,0.68127,1.37723,1.01411,0.70472,0.90443,0.84383,0.76164,0.4911,0.76783,0.84285,0.00012142,0.00012142,0.00012142
13,245.04,0.67642,1.32564,1.01564,0.74399,0.90586,0.86726,0.76821,0.53949,0.74233,0.86564,0.00012064,0.00012064,0.00012064
14,266.941,0.66787,1.29352,1.0119,0.74214,0.9228,0.86172,0.80651,0.3772,0.73101,0.82461,0.00011986,0.00011986,0.00011986
15,292.354,0.65023,1.26633,0.99757,0.71991,0.93247,0.86919,0.78114,0.50195,0.73033,0.84461,0.00011908,0.00011908,0.00011908
16,321.793,0.64705,1.24755,0.99956,0.74419,0.95454,0.88322,0.8065,0.43886,0.68758,0.82974,0.0001183,0.0001183,0.0001183
17,350.705,0.64678,1.21721,0.99322,0.74467,0.95589,0.87525,0.79929,0.44189,0.67209,0.83171,0.00011752,0.00011752,0.00011752
18,380.052,0.63021,1.20762,0.98813,0.73199,0.95105,0.87543,0.81868,0.37757,0.66,0.81939,0.00011674,0.00011674,0.00011674
19,408.687,0.61924,1.18,0.98529,0.77045,0.95939,0.87016,0.80982,0.39901,0.64286,0.82199,0.00011596,0.00011596,0.00011596
20,437.512,0.6126,1.16978,0.98066,0.7746,0.94357,0.88305,0.81535,0.42045,0.65076,0.82321,0.00011518,0.00011518,0.00011518
21,466.161,0.60553,1.14768,0.98053,0.7706,0.95604,0.87667,0.81116,0.40606,0.65297,0.82589,0.0001144,0.0001144,0.0001144
22,495.464,0.58603,1.13305,0.96815,0.77426,0.95411,0.88074,0.82858,0.35153,0.61947,0.81084,0.00011362,0.00011362,0.00011362
23,524.179,0.582,1.09051,0.9668,0.7898,0.95901,0.88509,0.81765,0.41758,0.61687,0.82324,0.00011284,0.00011284,0.00011284
24,552.746,0.58223,1.09236,0.9694,0.77576,0.96897,0.89066,0.81714,0.42613,0.60157,0.826,0.00011206,0.00011206,0.00011206
25,581.654,0.57162,1.06474,0.96486,0.74376,0.98958,0.88135,0.80763,0.46774,0.61177,0.83351,0.00011128,0.00011128,0.00011128
26,610.108,0.56934,1.06421,0.96059,0.76973,0.97913,0.88852,0.81565,0.45456,0.61469,0.82748,0.0001105,0.0001105,0.0001105
27,638.736,0.56272,1.046,0.95365,0.7954,0.94681,0.87757,0.8318,0.34508,0.58741,0.8094,0.00010972,0.00010972,0.00010972
28,667.344,0.5536,1.02692,0.95191,0.75225,0.99084,0.88528,0.84692,0.31476,0.59302,0.79968,0.00010894,0.00010894,0.00010894
29,696.158,0.5423,1.00216,0.9457,0.76577,0.97907,0.88863,0.84579,0.32452,0.59727,0.80307,0.00010816,0.00010816,0.00010816
30,724.622,0.538,0.99578,0.94429,0.78914,0.96825,0.89331,0.84224,0.36425,0.58262,0.81121,0.00010738,0.00010738,0.00010738
