epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.953,1.09786,3.44913,1.45004,0.52709,0.53992,0.4942,0.45503,0.42256,1.83489,0.88862,4.2193e-05,4.2193e-05,4.2193e-05
2,199.76,0.56888,1.28223,1.0052,0.6978,0.79144,0.78581,0.7124,0.47721,0.80041,0.90146,8.38329e-05,8.38329e-05,8.38329e-05
3,222.694,0.5375,1.00632,0.98497,0.69194,0.86427,0.84372,0.78882,0.36809,0.74019,0.85284,0.000123757,0.000123757,0.000123757
4,246.488,0.51723,0.90377,0.96845,0.70906,0.9026,0.86426,0.78885,0.45632,0.65198,0.90737,0.000122278,0.000122278,0.000122278
5,270.067,0.49805,0.85733,0.96698,0.73986,0.82807,0.82838,0.78368,0.32335,0.71498,0.83866,0.000119704,0.000119704,0.000119704
6,292.578,0.48277,0.77802,0.96206,0.7506,0.96268,0.88362,0.81382,0.42374,0.60011,0.88427,0.00011713,0.00011713,0.00011713
7,315.889,0.45678,0.75777,0.94578,0.74343,0.95035,0.87526,0.83817,0.31597,0.57536,0.83983,0.000114556,0.000114556,0.000114556
8,339.94,0.44369,0.72195,0.94779,0.78818,0.94523,0.88907,0.8579,0.29047,0.53822,0.82265,0.000111982,0.000111982,0.000111982
9,362.972,0.4078,0.68476,0.92478,0.77673,0.95274,0.88394,0.84634,0.2944,0.52016,0.82313,0.000109408,0.000109408,0.000109408
10,385.201,0.42967,0.6611,0.93391,0.78162,0.95436,0.88811,0.83132,0.37706,0.53932,0.85609,0.000106834,0.000106834,0.000106834
11,407.754,0.40069,0.63131,0.92169,0.78505,0.99209,0.89733,0.87187,0.2574,0.46722,0.80744,0.00010426,0.00010426,0.00010426
12,430.53,0.38572,0.62038,0.91584,0.75946,0.97045,0.87889,0.84913,0.27257,0.52447,0.81024,0.000101686,0.000101686,0.000101686
13,453.079,0.37051,0.61288,0.91279,0.75669,0.96774,0.8839,0.85922,0.25728,0.48597,0.80307,9.9112e-05,9.9112e-05,9.9112e-05
14,475.538,0.35897,0.61383,0.89566,0.76104,0.96706,0.87685,0.85501,0.24186,0.47364,0.79929,9.6538e-05,9.6538e-05,9.6538e-05
15,497.995,0.35149,0.59594,0.90448,0.76313,0.98031,0.8772,0.85908,0.24703,0.47884,0.80206,9.3964e-05,9.3964e-05,9.3964e-05
16,519.829,0.34445,0.57493,0.89818,0.76723,0.98701,0.89484,0.86885,0.25884,0.46617,0.80642,9.139e-05,9.139e-05,9.139e-05
17,543.391,0.37566,0.57365,0.91313,0.78807,0.98115,0.89261,0.87118,0.23764,0.44735,0.798,8.8816e-05,8.8816e-05,8.8816e-05
18,565.87,0.38661,0.56438,0.90707,0.76467,0.97978,0.89024,0.86445,0.27775,0.45752,0.81298,8.6242e-05,8.6242e-05,8.6242e-05
19,587.293,0.34184,0.55165,0.8954,0.78342,0.96798,0.88626,0.87017,0.23296,0.43881,0.79557,8.3668e-05,8.3668e-05,8.3668e-05
20,609.969,0.3254,0.53175,0.88942,0.78814,0.97016,0.87903,0.84203,0.32133,0.45929,0.82762,8.1094e-05,8.1094e-05,8.1094e-05
21,631.585,0.33137,0.54974,0.89115,0.75935,0.97793,0.88743,0.86801,0.23765,0.44695,0.79878,7.852e-05,7.852e-05,7.852e-05
22,653.825,0.35236,0.54115,0.88943,0.78531,0.9864,0.88631,0.86897,0.23921,0.44076,0.79633,7.5946e-05,7.5946e-05,7.5946e-05
23,675.122,0.37358,0.51893,0.90069,0.7824,0.97473,0.89022,0.87413,0.23041,0.43363,0.79483,7.3372e-05,7.3372e-05,7.3372e-05
24,700.742,0.32002,0.51264,0.88494,0.78088,0.96947,0.88299,0.86303,0.25019,0.44645,0.80027,7.0798e-05,7.0798e-05,7.0798e-05
25,722.893,0.30494,0.51373,0.88263,0.78213,0.9661,0.89157,0.87744,0.24129,0.44343,0.79875,6.8224e-05,6.8224e-05,6.8224e-05
26,746.325,0.32384,0.50954,0.88589,0.78221,0.97436,0.88942,0.87393,0.22246,0.45563,0.79075,6.565e-05,6.565e-05,6.565e-05
27,768.952,0.31127,0.51089,0.87973,0.78837,0.96689,0.89334,0.87681,0.24017,0.4371,0.79704,6.3076e-05,6.3076e-05,6.3076e-05
28,790.398,0.31131,0.50217,0.88039,0.77455,0.97115,0.88653,0.86442,0.27345,0.44737,0.80648,6.0502e-05,6.0502e-05,6.0502e-05
29,813.041,0.29654,0.50052,0.87694,0.78813,0.96814,0.88301,0.86563,0.23758,0.45027,0.79186,5.7928e-05,5.7928e-05,5.7928e-05
30,835.533,0.29036,0.48194,0.87002,0.78843,0.96847,0.88707,0.86833,0.24227,0.44171,0.80203,5.5354e-05,5.5354e-05,5.5354e-05
31,857.259,0.28724,0.48815,0.86732,0.7896,0.97464,0.88214,0.861,0.26796,0.4423,0.80928,5.278e-05,5.278e-05,5.278e-05
32,878.729,0.28079,0.4788,0.87031,0.79396,0.96714,0.88672,0.87109,0.21274,0.43521,0.78575,5.0206e-05,5.0206e-05,5.0206e-05
33,901.275,0.2854,0.47026,0.86561,0.80542,0.96181,0.88894,0.87844,0.19782,0.43795,0.7836,4.7632e-05,4.7632e-05,4.7632e-05
34,923.211,0.27351,0.47348,0.86498,0.78904,0.96719,0.88416,0.87405,0.20713,0.44306,0.78874,4.5058e-05,4.5058e-05,4.5058e-05
35,945.456,0.26933,0.4656,0.86255,0.80149,0.96572,0.87851,0.86932,0.20042,0.43471,0.78321,4.2484e-05,4.2484e-05,4.2484e-05
36,968.232,0.27113,0.46972,0.86426,0.79102,0.95695,0.88495,0.87761,0.19547,0.44978,0.78124,3.991e-05,3.991e-05,3.991e-05
37,990.692,0.25545,0.44866,0.85366,0.79737,0.96424,0.88779,0.88035,0.19936,0.44235,0.78003,3.7336e-05,3.7336e-05,3.7336e-05
38,1014.04,0.26048,0.4539,0.861,0.79598,0.9561,0.87965,0.87409,0.18673,0.43462,0.77648,3.4762e-05,3.4762e-05,3.4762e-05
39,1036.65,0.24855,0.45231,0.85287,0.80169,0.94896,0.88293,0.87674,0.19272,0.41761,0.7765,3.2188e-05,3.2188e-05,3.2188e-05
40,1057.97,0.24639,0.43361,0.85292,0.79578,0.96256,0.8831,0.87734,0.18143,0.42906,0.77473,2.9614e-05,2.9614e-05,2.9614e-05
41,1087.07,0.19397,0.39806,0.81382,0.80004,0.9671,0.8777,0.8719,0.18317,0.43063,0.77459,2.704e-05,2.704e-05,2.704e-05
42,1108.37,0.19526,0.38966,0.81508,0.79144,0.96616,0.87282,0.85965,0.23739,0.43169,0.7936,2.4466e-05,2.4466e-05,2.4466e-05
43,1133.02,0.1878,0.38534,0.81914,0.79929,0.96131,0.87843,0.87278,0.17704,0.42566,0.7729,2.1892e-05,2.1892e-05,2.1892e-05
44,1154.44,0.18505,0.3831,0.81566,0.78858,0.97044,0.87889,0.87447,0.17719,0.4219,0.77402,1.9318e-05,1.9318e-05,1.9318e-05
45,1181.71,0.18421,0.38246,0.81356,0.79314,0.95685,0.87994,0.87503,0.17913,0.4301,0.77456,1.6744e-05,1.6744e-05,1.6744e-05
46,1209.33,0.17805,0.37301,0.8136,0.7912,0.96133,0.87677,0.87246,0.17453,0.42305,0.77172,1.417e-05,1.417e-05,1.417e-05
47,1233.13,0.17367,0.36316,0.80639,0.7864,0.96471,0.87506,0.86842,0.17477,0.42912,0.77306,1.1596e-05,1.1596e-05,1.1596e-05
48,1256.39,0.17311,0.36509,0.81539,0.79961,0.95884,0.87568,0.87154,0.17054,0.42558,0.77029,9.022e-06,9.022e-06,9.022e-06
49,1277.86,0.16648,0.35436,0.80709,0.79838,0.9536,0.87478,0.86993,0.17676,0.42732,0.77204,6.448e-06,6.448e-06,6.448e-06
50,1303.5,0.16521,0.34613,0.80637,0.79831,0.95159,0.87457,0.87103,0.16715,0.42815,0.7699,3.874e-06,3.874e-06,3.874e-06
