epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3304,0.72665,3.1583,1.15362,0.53767,0.66088,0.59462,0.56298,0.34547,1.26025,0.84496,4.27556e-05,4.27556e-05,4.27556e-05
2,74.253,0.41542,1.28136,0.91142,0.67774,0.87573,0.84096,0.80037,0.31917,0.9181,0.82074,8.52366e-05,8.52366e-05,8.52366e-05
3,111.488,0.40449,1.02308,0.90486,0.70401,0.92115,0.86796,0.8252,0.33008,0.66857,0.83111,0.00012686,0.00012686,0.00012686
4,154.479,0.3971,0.87389,0.8976,0.71423,0.91002,0.86557,0.83459,0.28931,0.62898,0.81781,0.000126139,0.000126139,0.000126139
5,191.313,0.37539,0.81591,0.88922,0.73188,0.97387,0.89499,0.86058,0.27469,0.55867,0.81377,0.000124852,0.000124852,0.000124852
6,228.266,0.35623,0.74453,0.88697,0.75336,0.96326,0.88275,0.85362,0.27553,0.55311,0.81105,0.000123565,0.000123565,0.000123565
7,263.32,0.35107,0.72124,0.88523,0.77749,0.94857,0.89744,0.87185,0.25975,0.5202,0.80226,0.000122278,0.000122278,0.000122278
8,300.128,0.34299,0.64958,0.88341,0.7728,0.97147,0.89173,0.86769,0.25609,0.51808,0.80524,0.000120991,0.000120991,0.000120991
9,336.133,0.35035,0.67558,0.88759,0.75241,0.96011,0.86979,0.84708,0.25345,0.51176,0.80459,0.000119704,0.000119704,0.000119704
10,373.232,0.33524,0.63597,0.87613,0.7529,0.97866,0.8897,0.86336,0.26083,0.48992,0.80445,0.000118417,0.000118417,0.000118417
11,408.314,0.32628,0.62467,0.87979,0.76306,0.99274,0.896,0.87497,0.24004,0.47423,0.79707,0.00011713,0.00011713,0.00011713
12,445.364,0.3178,0.59915,0.87149,0.76739,0.98902,0.89665,0.87488,0.24744,0.49058,0.80042,0.000115843,0.000115843,0.000115843
13,482.552,0.3156,0.58873,0.8703,0.78319,0.97657,0.89838,0.88105,0.2343,0.45046,0.79324,0.000114556,0.000114556,0.000114556
14,519.689,0.31053,0.57979,0.86542,0.74801,0.98481,0.89176,0.8699,0.24313,0.46728,0.79464,0.000113269,0.000113269,0.000113269
15,555.124,0.30962,0.57291,0.87548,0.7742,0.9777,0.88953,0.8747,0.22922,0.45972,0.79193,0.000111982,0.000111982,0.000111982
16,591.291,0.31812,0.57092,0.87028,0.77025,0.98114,0.89279,0.878,0.21707,0.451,0.7881,0.000110695,0.000110695,0.000110695
17,633.712,0.30604,0.53197,0.86747,0.76556,0.99318,0.87952,0.86466,0.23541,0.44491,0.79354,0.000109408,0.000109408,0.000109408
18,668.501,0.29687,0.53806,0.86211,0.77703,0.96161,0.87675,0.86438,0.22358,0.44217,0.7908,0.000108121,0.000108121,0.000108121
19,706.181,0.29598,0.55637,0.86939,0.77541,0.98176,0.89503,0.87889,0.22399,0.45584,0.79127,0.000106834,0.000106834,0.000106834
20,746.863,0.29122,0.54271,0.85923,0.77476,0.97519,0.89684,0.87799,0.24111,0.46033,0.79578,0.000105547,0.000105547,0.000105547
21,783.206,0.28921,0.54024,0.86255,0.78376,0.98241,0.88242,0.8712,0.22415,0.443,0.78957,0.00010426,0.00010426,0.00010426
22,819.522,0.28994,0.52901,0.86006,0.78746,0.98645,0.90377,0.88768,0.21645,0.44808,0.78679,0.000102973,0.000102973,0.000102973
23,856.579,0.27659,0.5141,0.85303,0.78941,0.97771,0.87925,0.86488,0.22072,0.43454,0.78984,0.000101686,0.000101686,0.000101686
24,894.416,0.28099,0.51729,0.85977,0.79228,0.96112,0.90269,0.88723,0.2115,0.44902,0.78632,0.000100399,0.000100399,0.000100399
25,930.919,0.27713,0.51702,0.85396,0.78598,0.98363,0.88654,0.87761,0.20749,0.44358,0.78669,9.9112e-05,9.9112e-05,9.9112e-05
26,966.256,0.27525,0.50321,0.86222,0.78224,0.9929,0.89536,0.87871,0.21977,0.44284,0.79033,9.7825e-05,9.7825e-05,9.7825e-05
